step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
4001366016,244395863.4,0.003918,0.24076,0.000836,-0.322266,0.0,0.9637,0.7527,0.004008,0.003648,0.004729,4.380458,15.428847,0.00011472
4002152448,145566070.6,0.001647,0.327437,0.000806,-0.314453,0.0,0.9589,0.7338,0.003743,0.003774,0.004654,5.281744,15.305899,0.00018473
4002938880,103312235.3,-0.000914,0.429683,0.000793,-0.332031,0.0,0.9532,0.6993,0.003488,0.003453,0.004207,5.136,15.678724,0.00019072
4003725312,61128532.2,-0.003143,0.504325,0.000789,-0.324219,0.0,0.9511,0.697,0.004047,0.003486,0.004396,4.914775,15.037237,0.00018674
4004511744,52104191.9,-0.003443,0.541087,0.000819,-0.314453,0.0,0.9481,0.6786,0.003424,0.003259,0.004633,4.898006,15.240978,0.0001976
4005298176,45427734.6,0.002969,0.616984,0.000828,-0.320312,0.0,0.9468,0.672,0.003636,0.003473,0.004548,5.399262,16.267693,0.000192
4006084608,40247639.5,-0.005867,0.646815,0.000864,-0.304688,0.0,0.9452,0.6646,0.004053,0.00352,0.005239,5.33179,16.431263,0.00018984
4006871040,32019222.4,-0.002838,0.808205,0.000946,-0.324219,0.0,0.9429,0.6492,0.004255,0.004199,0.006212,5.26931,16.721415,0.00020348
4007657472,29413549.3,-0.000337,0.716558,0.000989,-0.322266,0.0,0.9399,0.6298,0.004494,0.004485,0.006273,5.24365,16.66576,0.00018917
4008443904,27155713.2,0.000566,0.809594,0.000995,-0.339844,0.0,0.9367,0.6071,0.003654,0.003899,0.005719,5.729568,16.890766,0.00022874
4009230336,23097889.0,0.004455,0.897343,0.000976,-0.328125,0.0,0.9359,0.5989,0.003519,0.003975,0.00507,5.248548,17.574043,0.00020549
4010016768,21729739.8,0.006299,0.913172,0.000952,-0.308594,0.0,0.9338,0.5879,0.003687,0.003747,0.004624,5.534567,18.228214,0.00020213
4010803200,20467925.7,0.001383,0.740468,0.000988,-0.296875,0.0,0.9322,0.5829,0.004106,0.004359,0.005703,5.664995,18.524666,0.00020398
4011589632,19386950.2,-0.005326,0.741517,0.001014,-0.304688,0.0,0.9306,0.5794,0.003001,0.003814,0.005333,5.405271,18.477989,0.00020979
4012376064,17141542.7,-0.007931,0.587285,0.001009,-0.291016,0.0,0.9299,0.5791,0.003079,0.003762,0.004812,5.24199,17.982815,0.00021794
4013162496,16339878.7,-0.001549,0.633764,0.001003,-0.296875,0.0,0.9287,0.576,0.003038,0.00334,0.005113,5.570028,18.382816,0.00017275
4013948928,15603020.4,-0.001007,0.689111,0.00099,-0.300781,0.0,0.9278,0.5716,0.002491,0.003029,0.003845,5.264194,19.227697,0.00020312
4014735360,14091420.3,0.005363,0.811839,0.001017,-0.300781,0.0,0.9255,0.5607,0.003139,0.003902,0.004659,5.094003,19.630089,0.00020021
4015521792,13557751.6,0.007257,0.526607,0.001037,-0.253906,0.0,0.9247,0.5638,0.003545,0.004344,0.005764,5.113463,19.510595,0.00020532
4016308224,13074998.9,-0.004372,0.42323,0.000991,-0.259766,0.0,0.9242,0.5671,0.003234,0.003934,0.004366,5.322187,18.677151,0.00021233
4017094656,12610122.6,0.00204,0.533399,0.001008,-0.263672,0.0,0.9242,0.5704,0.00299,0.003731,0.005259,4.784629,18.88966,0.00021151
4017881088,11730334.1,-0.001915,0.61964,0.001066,-0.265625,0.0,0.9234,0.5677,0.002822,0.00267,0.004176,5.397201,19.424833,0.00021889
4018667520,11379634.8,-0.002544,0.674399,0.001134,-0.263672,0.0,0.9225,0.5651,0.003198,0.003674,0.005049,5.069786,19.714119,0.000204
4019453952,11052485.2,-0.001271,0.639535,0.001104,-0.261719,0.0,0.9219,0.565,0.003475,0.004098,0.005344,5.261277,19.48819,0.00020907
4020240384,10362787.1,-0.010845,0.475034,0.001163,-0.259766,0.0,0.9209,0.5638,0.003131,0.00365,0.00461,5.152998,19.312233,0.00021434
4021026816,10073281.5,0.000578,0.458551,0.00116,-0.248047,0.0,0.9206,0.5638,0.005679,0.004516,0.005537,4.8597,19.343781,0.00024439
4021813248,9809467.7,-0.003359,0.431548,0.001202,-0.251953,0.0,0.9204,0.5665,0.005467,0.003787,0.005279,4.594195,19.055464,0.00021781
4022599680,9559515.7,-0.003959,0.387996,0.001156,-0.253906,0.0,0.9206,0.5699,0.004524,0.003415,0.005634,4.733304,20.153349,0.00023401
4023386112,9063312.3,-0.005988,0.479507,0.001119,-0.257812,0.0,0.9206,0.5714,0.003768,0.004109,0.006484,5.297276,20.073166,0.00022434
4024172544,8844351.4,-0.001686,0.61348,0.001012,-0.265625,0.0,0.9201,0.5687,0.003296,0.003987,0.006494,5.176367,19.55872,0.00018944
4024958976,8632998.7,-0.003497,0.433136,0.000978,-0.261719,0.0,0.9193,0.568,0.002898,0.003004,0.004436,4.835628,18.820595,0.00021267
4025745408,8210282.7,-0.001047,0.425661,0.000991,-0.263672,0.0,0.918,0.5671,0.003349,0.003423,0.004627,4.390776,17.643499,0.00018472
4026531840,8034362.7,-0.000575,0.348332,0.000993,-0.25,0.0,0.9165,0.5639,0.002201,0.002692,0.004308,4.424803,19.553778,0.00020628
4027318272,7860852.7,2.4e-05,0.259681,0.001049,-0.243164,0.0,0.915,0.5628,0.003461,0.003412,0.004989,4.96231,19.559584,0.00020492
4028104704,7691852.9,-0.004304,0.36385,0.001041,-0.242188,0.0,0.9141,0.5634,0.00332,0.003635,0.004991,4.737075,19.658504,0.0001991
4028891136,7333354.3,-0.001589,0.314273,0.001062,-0.240234,0.0,0.913,0.5631,0.003357,0.003455,0.005945,4.921118,18.850803,0.00021741
4029677568,7185469.9,-0.00334,0.341042,0.001,-0.239258,0.0,0.9114,0.5605,0.00337,0.003348,0.004274,4.643504,18.973591,0.00022591
4030464000,7043085.1,-0.001715,0.360992,0.001002,-0.248047,0.0,0.9107,0.562,0.002788,0.003688,0.004512,4.601871,19.891714,0.00021973
4031250432,6905362.5,-0.004882,0.335302,0.001016,-0.248047,0.0,0.9096,0.5632,0.003157,0.003836,0.004971,4.911989,19.747231,0.00022594
4032036864,6624488.4,-0.00378,0.335692,0.001171,-0.234375,0.0,0.9086,0.5634,0.003609,0.003927,0.005933,4.435299,20.144024,0.00024152
4032823296,6505732.7,-0.006117,0.247164,0.001245,-0.232422,0.0,0.9084,0.567,0.003024,0.002942,0.004795,4.555002,19.850639,0.00025881
4033609728,6390564.0,0.001798,0.333314,0.001218,-0.231445,0.0,0.9082,0.5727,0.002461,0.002763,0.003795,4.754436,19.702522,0.00024129
4034396160,6160166.0,0.002883,0.341834,0.001188,-0.234375,0.0,0.9086,0.5804,0.006301,0.003591,0.004891,4.704018,20.556471,0.00022643
4035182592,6058034.8,-0.004421,0.491335,0.001071,-0.241211,0.0,0.9088,0.5841,0.007521,0.003944,0.005249,4.804111,20.636559,0.00022554
4035969024,5958633.0,0.001182,0.408467,0.001106,-0.225586,0.0,0.9094,0.5948,0.004359,0.004125,0.005001,4.424464,20.770853,0.00023513
4036755456,5863157.4,0.000817,0.353441,0.001107,-0.21582,0.0,0.9094,0.6024,0.004122,0.003412,0.004622,4.636118,20.883286,0.00023118
4037541888,5657948.8,-0.002838,0.391408,0.001166,-0.217773,0.0,0.909,0.6049,0.003229,0.003218,0.004972,4.917335,20.605688,0.00021309
4038328320,5577224.0,0.001231,0.325237,0.001146,-0.211914,0.0,0.9082,0.6055,0.002644,0.00403,0.004693,4.690335,20.880241,0.00021266
4039114752,5496419.9,-0.00278,0.331655,0.001131,-0.204102,0.0,0.9079,0.608,0.003031,0.003461,0.004742,4.082322,21.892179,0.00025445
4039901184,5322123.5,-0.003324,0.389163,0.001178,-0.211914,0.0,0.9076,0.6138,0.003577,0.003222,0.004495,4.573841,21.860121,0.00022682
4040687616,5245572.3,0.002526,0.638358,0.001108,-0.233398,0.0,0.9068,0.6087,0.003321,0.003284,0.004758,4.796257,20.956013,0.00023834
4041474048,5169986.6,-0.000921,0.630731,0.001122,-0.242188,0.0,0.9066,0.6087,0.003601,0.003571,0.004321,5.405398,20.461281,0.00025796
4042260480,5096678.9,0.002933,0.641187,0.001103,-0.253906,0.0,0.9056,0.6011,0.003467,0.00366,0.004826,5.10473,20.301247,0.00024691
4043046912,4941778.1,0.006808,0.708957,0.001048,-0.259766,0.0,0.9051,0.5968,0.002422,0.003507,0.004367,5.333666,21.613888,0.0002552
4043833344,4874207.3,0.004839,0.741606,0.001035,-0.251953,0.0,0.9042,0.5914,0.00395,0.003971,0.005022,5.338204,21.729773,0.00023453
4044619776,4811598.0,0.001394,0.68842,0.001094,-0.234375,0.0,0.9037,0.5901,0.002937,0.003576,0.004873,5.384307,22.293194,0.00023257
4045406208,4672164.7,-0.004584,0.535041,0.001095,-0.238281,0.0,0.9028,0.5889,0.002576,0.002916,0.004054,5.080719,21.686443,0.00024521
4046192640,4614830.8,0.001373,0.251938,0.001064,-0.214844,0.0,0.901,0.5896,0.002893,0.003104,0.004153,5.11662,21.512058,0.00023881
4046979072,4556209.7,0.003617,0.269272,0.001126,-0.216797,0.0,0.9001,0.5924,0.002912,0.003164,0.004285,5.143468,21.608381,0.00024906
4047765504,4499055.5,0.004487,0.438757,0.00107,-0.228516,0.0,0.8995,0.5916,0.0026,0.002949,0.004231,4.396013,22.926392,0.0002488
4048551936,4369995.7,0.000147,0.396783,0.001055,-0.232422,0.0,0.8983,0.5905,0.002894,0.003235,0.004324,4.786382,22.322044,0.00023366
4049338368,4316795.6,0.004236,0.421998,0.001034,-0.243164,0.0,0.8969,0.5882,0.002825,0.003928,0.005034,5.46358,21.914101,0.00025441
4050124800,4266374.6,0.004783,0.430025,0.001066,-0.263672,0.0,0.8958,0.5847,0.002307,0.002967,0.003882,5.588875,21.252623,0.00025522
4050911232,4158939.0,0.007669,0.381585,0.001089,-0.257812,0.0,0.8948,0.5887,0.002573,0.003824,0.004296,5.427355,19.300642,0.00020926
4051697664,4112022.4,0.002731,0.359776,0.001022,-0.257812,0.0,0.8939,0.5892,0.002951,0.003276,0.003835,5.221387,21.702419,0.00022706
4052484096,4065681.6,0.000317,0.320595,0.000999,-0.253906,0.0,0.8931,0.5909,0.00293,0.003472,0.004714,5.359127,21.326694,0.00024625
4053270528,4020011.4,0.001169,0.262171,0.001052,-0.238281,0.0,0.8923,0.5924,0.003299,0.003716,0.004478,4.994853,21.190105,0.000213
4054056960,3923684.6,0.002645,0.343055,0.001097,-0.253906,0.0,0.8913,0.5914,0.002642,0.00329,0.004685,5.250346,21.166103,0.00023415
4054843392,3883422.0,-0.006063,0.336868,0.001039,-0.267578,0.0,0.8899,0.5891,0.003786,0.004041,0.005073,5.366751,20.502951,0.00025207
4055629824,3844105.9,0.002885,0.384099,0.001005,-0.257812,0.0,0.8887,0.5858,0.003195,0.003674,0.004917,5.171281,22.108976,0.00021209
4056416256,3803865.3,-0.001333,0.405171,0.001014,-0.267578,0.0,0.8882,0.5843,0.002844,0.003771,0.004921,5.042812,21.915226,0.00022637
4057202688,3710916.5,0.001043,0.422667,0.00099,-0.265625,0.0,0.8875,0.5808,0.004031,0.003904,0.00554,5.509774,21.729195,0.00019378
4057989120,3674647.2,0.005352,0.328942,0.001,-0.244141,0.0,0.8863,0.5793,0.002793,0.003371,0.004249,5.430538,21.378563,0.00021454
4058775552,3637568.9,-0.002129,0.255833,0.000988,-0.243164,0.0,0.8851,0.5784,0.002983,0.003315,0.004104,5.448975,21.165112,0.00023056
4059561984,3560866.9,-0.003357,0.326476,0.000968,-0.234375,0.0,0.8833,0.5738,0.002437,0.003347,0.004015,4.588422,22.90003,0.0002359
4060348416,3528889.5,-0.00099,0.322298,0.000996,-0.225586,0.0,0.8816,0.5702,0.003191,0.003303,0.004662,4.559208,22.834532,0.00024204
4061134848,3494516.2,0.005047,0.434964,0.000996,-0.235352,0.0,0.8789,0.5634,0.003474,0.003397,0.004166,5.208691,22.224293,0.00021529
4061921280,3462732.5,0.002484,0.364905,0.000978,-0.224609,0.0,0.8766,0.5592,0.002073,0.003178,0.004127,4.981497,21.780972,0.00022279
4062707712,3389487.0,-0.00212,0.313116,0.000963,-0.234375,0.0,0.8745,0.557,0.002707,0.00295,0.004088,5.221654,21.332653,0.00021769
4063494144,3359035.9,-0.004166,0.256405,0.000926,-0.231445,0.0,0.8729,0.555,0.002868,0.00351,0.004763,5.035808,20.893761,0.00021713
4064280576,3328159.6,-0.000621,0.290406,0.000997,-0.220703,0.0,0.8718,0.5535,0.002536,0.002585,0.003437,4.672844,22.378378,0.00022776
4065067008,3260993.7,-0.004216,0.328152,0.000984,-0.226562,0.0,0.8712,0.5529,0.002983,0.003422,0.004088,4.828945,23.118803,0.00019508
4065853440,3231506.3,-0.002557,0.308894,0.00103,-0.211914,0.0,0.871,0.5534,0.002952,0.004064,0.005528,5.038015,22.696066,0.00021292
4066639872,3203292.2,-0.002849,0.308085,0.001001,-0.210938,0.0,0.8709,0.5531,0.002778,0.003001,0.003825,4.977691,22.216095,0.00023208
4067426304,3176712.3,-0.000334,0.223692,0.001045,-0.203125,0.0,0.871,0.5539,0.001992,0.003012,0.004137,4.49745,21.836952,0.00023757
4068212736,3121678.9,0.013446,0.338454,0.001021,-0.214844,0.0,0.8712,0.5568,0.002507,0.003387,0.004756,4.467916,23.002432,0.00024018
4068999168,3095157.7,-0.002239,0.192597,0.000998,-0.208008,0.0,0.8715,0.5653,0.003156,0.003534,0.005065,4.599183,22.848446,0.00021526
4069785600,3069606.8,-0.002325,0.248242,0.000974,-0.233398,0.0,0.8721,0.5745,0.002133,0.003444,0.004851,4.995863,22.606728,0.0002083
4070572032,3014640.7,0.003687,0.248033,0.000993,-0.231445,0.0,0.8726,0.5841,0.002303,0.003209,0.004198,5.365293,21.226473,0.00020931
4071358464,2991540.7,0.001614,0.361307,0.000996,-0.234375,0.0,0.8717,0.5878,0.003188,0.003495,0.004266,5.186772,21.299679,0.00025485
4072144896,2968590.1,-0.001493,0.363312,0.000999,-0.227539,0.0,0.8714,0.5915,0.003406,0.002874,0.003884,5.172382,21.462074,0.00024031
