step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
786432,56610.1,0.005091,3.574052,0.014771,0.999553,0.0,0.1414,-7.7317,0.068945,0.097505,0.11047,0.001943,0.174461
1572864,66492.1,0.000689,3.76741,0.003527,0.999194,0.0,0.1391,-7.6431,0.109145,0.099718,0.093129,0.010772,0.49115
2359296,70887.8,-0.001488,3.402255,0.001936,0.911976,0.0,0.1339,-7.6767,0.140151,0.136395,0.135145,0.056368,1.3316
3145728,63043.3,-0.004075,4.42591,0.0013,0.780396,0.0,0.1304,-7.7539,0.103143,0.087741,0.089063,0.266438,1.237616
3932160,65908.2,-0.003024,4.880369,0.001156,0.784383,0.0,0.1264,-7.8514,0.081062,0.086615,0.063526,0.3868,1.779711
4718592,67885.8,0.002681,4.713609,0.001146,0.791224,0.0,0.1245,-7.8964,0.061944,0.093755,0.075097,0.380313,1.899233
5505024,69371.0,2.7e-05,5.259561,0.001219,0.759618,0.0,0.1224,-7.9203,0.048719,0.069832,0.051419,0.511299,2.197879
6291456,59671.4,-0.004767,4.955026,0.001003,0.79188,0.0,0.1229,-7.8595,0.040143,0.051204,0.036773,0.543917,2.199789
7077888,61429.1,-0.004752,4.319028,0.000856,0.784118,0.0,0.1245,-7.7997,0.030535,0.050816,0.032745,0.518331,2.143
7864320,62923.4,0.003962,4.107562,0.00078,0.79035,0.0,0.125,-7.7455,0.030944,0.054758,0.035027,0.541671,2.173532
8650752,60346.1,-0.001038,4.709561,0.000734,0.834189,0.0,0.1251,-7.7172,0.033964,0.036984,0.023225,0.494977,2.363724
9437184,61688.4,-0.004677,4.794486,0.000735,0.79284,0.0,0.1262,-7.673,0.042345,0.054374,0.037033,0.508834,2.361336
10223616,62870.8,-0.003396,4.80076,0.000691,0.822941,0.0,0.127,-7.6407,0.024749,0.030316,0.028717,0.561665,2.43417
11010048,63916.8,0.010927,4.498157,0.000653,0.839774,0.0,0.1278,-7.6041,0.020193,0.031382,0.030665,0.534199,2.440234
11796480,60404.4,-0.000916,4.859693,0.000667,0.85187,0.0,0.1252,-7.6025,0.012466,0.017254,0.019832,0.578346,2.370492
12582912,61334.3,-0.006275,4.514326,0.000617,0.846717,0.0,0.1218,-7.6229,0.009349,0.017375,0.015648,0.453418,2.282909
13369344,62204.5,0.001205,4.514428,0.000572,0.830254,0.0,0.1198,-7.632,0.010665,0.016201,0.014936,0.431546,2.608962
14155776,61383.8,-0.005977,4.943996,0.000642,0.866877,0.0,0.1169,-7.6584,0.017059,0.023757,0.019906,0.452732,2.549051
14942208,62174.5,0.007725,4.241461,0.000579,0.856088,0.0,0.1189,-7.6203,0.020785,0.02918,0.022893,0.464844,2.43501
15728640,62894.5,0.00439,4.226493,0.000564,0.868669,0.0,0.1203,-7.5819,0.019146,0.034292,0.025727,0.487213,2.39556
16515072,63519.0,-0.001472,4.237986,0.000553,0.878734,0.0,0.1215,-7.5557,0.013981,0.02508,0.021366,0.495683,2.401156
17301504,61406.2,-0.001756,4.773485,0.000548,0.885767,0.0,0.1225,-7.5325,0.020631,0.019905,0.020155,0.445221,2.70605
18087936,62042.4,-0.002513,4.687714,0.000558,0.840005,0.0,0.124,-7.504,0.01453,0.014614,0.013586,0.474591,2.723246
18874368,62692.5,0.005763,4.405209,0.000558,0.835947,0.0,0.1255,-7.4763,0.020033,0.012118,0.012208,0.51537,2.608566
19660800,61815.0,0.001315,4.717519,0.000574,0.858866,0.0,0.1269,-7.4504,0.041636,0.016112,0.013283,0.564443,2.511606
20447232,62365.0,0.001562,4.496416,0.000525,0.862097,0.0,0.1253,-7.4566,0.020895,0.021898,0.017794,0.519924,2.50784
