step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
786432,33684.0,-0.004283,3.401529,0.008902,-0.042725,0.0,0.1154,-7.8112,0.066616,0.095661,0.119861,0.00124,0.010761
1572864,47026.9,-0.003893,3.863386,0.000606,-0.077637,0.0,0.1149,-7.8287,0.092952,0.082596,0.077713,0.013951,0.341751
2359296,54305.3,0.003907,3.513077,0.000447,-1.226562,0.0,0.1155,-7.8207,0.128693,0.130952,0.125095,0.023089,0.427658
3145728,42277.4,-0.005916,3.696164,0.000915,-0.789062,0.0,0.1181,-7.8061,0.120872,0.095636,0.101293,0.121269,0.159146
3932160,46671.7,-0.002784,3.943386,0.000833,-0.636719,0.0,0.1221,-7.7123,0.095608,0.085085,0.070335,0.320596,0.440394
4718592,50140.4,-0.004514,3.85075,0.001153,-0.769531,0.0,0.1249,-7.6861,0.09546,0.094842,0.071582,0.407073,0.778604
5505024,52948.3,0.001705,4.226583,0.001094,-1.203125,0.0,0.1263,-7.6279,0.070664,0.085805,0.055903,0.712988,0.917398
6291456,47698.5,-0.00641,4.370381,0.001034,-1.257812,0.0,0.129,-7.5729,0.061128,0.077105,0.057232,1.081602,0.845366
7077888,49833.2,-0.000928,3.699601,0.000978,-1.1875,0.0,0.132,-7.5157,0.044693,0.057678,0.041751,1.279745,1.007178
7864320,51774.0,-0.001767,3.739604,0.00092,-1.117188,0.0,0.1338,-7.473,0.035092,0.037939,0.026626,1.741222,1.429491
8650752,48446.6,-0.001116,3.992857,0.000882,-1.101562,0.0,0.1342,-7.4526,0.061769,0.056177,0.036952,1.621248,2.029735
9437184,50008.8,0.002278,3.656626,0.00088,-1.039062,0.0,0.1331,-7.365,0.038585,0.053586,0.037042,2.078296,2.197323
10223616,51374.5,-0.000933,3.473681,0.000852,-0.894531,0.0,0.1316,-7.2891,0.032317,0.036691,0.027325,2.680201,3.577728
11010048,52685.8,0.003557,3.422599,0.000829,-0.914062,0.0,0.1301,-7.2326,0.027263,0.035201,0.031149,3.502665,3.825351
11796480,49893.1,-0.001546,4.03301,0.00082,-0.957031,0.0,0.1278,-7.2268,0.019355,0.020934,0.015394,4.100535,3.767831
12582912,51048.6,-0.00364,4.311886,0.000803,-0.964844,0.0,0.1251,-7.2394,0.027075,0.036733,0.024135,4.021036,3.408287
13369344,52138.6,-0.005048,4.145047,0.0008,-0.96875,0.0,0.1237,-7.2452,0.028984,0.033951,0.025946,3.87874,5.21062
14155776,49751.0,0.00173,4.895492,0.000813,-0.992188,0.0,0.1217,-7.2519,0.027782,0.03292,0.025021,4.740416,5.483139
14942208,50769.3,-0.000712,3.799232,0.000793,-0.886719,0.0,0.1237,-7.1977,0.021791,0.032122,0.021714,4.904807,5.658959
15728640,51722.4,-0.000825,3.592962,0.000725,-0.867188,0.0,0.1255,-7.1577,0.028031,0.04247,0.027508,5.726144,6.22361
16515072,52589.1,-0.001152,3.705906,0.000811,-0.898438,0.0,0.1266,-7.1248,0.020678,0.030461,0.020594,6.588562,6.412505
17301504,51077.8,0.007594,4.049809,0.000852,-0.875,0.0,0.126,-7.1123,0.028465,0.031029,0.023755,5.88367,8.129618
18087936,51896.0,-0.008048,4.054704,0.000786,-0.890625,0.0,0.1234,-7.104,0.02578,0.033291,0.020691,5.432478,8.009042
18874368,51891.7,-0.011188,3.354354,0.00091,-1.007812,0.0,0.1212,-7.1009,0.021048,0.030885,0.018545,7.394281,7.534398
19660800,50306.5,-0.001436,3.834613,0.000807,-0.910156,0.0,0.1191,-7.0919,0.018963,0.023402,0.016883,7.221554,7.659008
20447232,51016.9,-0.001843,3.709012,0.000964,-0.886719,0.0,0.1194,-7.0666,0.01546,0.024517,0.012428,7.556668,7.466256
21233664,51692.3,-0.002316,3.660032,0.000784,-0.914062,0.0,0.1195,-7.0504,0.019023,0.036493,0.0184,5.6952,4.95736
22020096,52329.6,-0.005716,3.653424,0.000711,-0.90625,0.0,0.1198,-7.0359,0.012339,0.018691,0.011232,6.48665,9.310428
22806528,50972.2,0.001282,3.963448,0.000722,-0.882812,0.0,0.1199,-7.0137,0.016346,0.023963,0.015027,6.97602,9.101595
23592960,51591.0,-0.001537,3.446884,0.000713,-0.863281,0.0,0.1197,-6.9899,0.017974,0.018722,0.02039,7.361945,8.932607
24379392,52176.6,0.00519,3.143642,0.000676,-0.945312,0.0,0.1192,-6.9697,0.012247,0.015025,0.014124,9.071043,8.900031
