step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
786432,41554.6,-0.002434,3.361371,0.016153,-0.052979,0.0,0.1336,-7.5684,0.066674,0.097146,0.112501,0.001354,0.010809
1572864,53663.7,-0.004621,3.686257,0.001776,-0.088379,0.0,0.1368,-7.5486,0.102846,0.099335,0.077513,0.021473,0.444628
2359296,59112.3,-0.001799,3.244018,0.000387,-0.125977,0.0,0.1391,-7.4985,0.133726,0.141177,0.124483,0.077762,1.047538
3145728,47762.7,-0.000417,4.231426,0.000401,-0.134766,0.0,0.1365,-7.5158,0.102303,0.08744,0.099533,0.313246,2.891744
3932160,51574.5,-0.004914,4.420793,0.001206,-0.542969,0.0,0.1331,-7.5723,0.076819,0.085155,0.069768,0.372524,4.05276
4718592,54121.6,0.002302,4.793882,0.001705,-0.609375,0.0,0.1305,-7.5791,0.075791,0.084379,0.070541,1.198414,2.701712
5505024,56295.8,0.001643,4.89154,0.000923,-0.652344,0.0,0.1275,-7.5865,0.067437,0.072074,0.062976,2.024745,2.900656
6291456,51129.5,-0.010042,4.686342,0.000699,-0.671875,0.0,0.1352,-7.5008,0.064348,0.071039,0.058208,2.675274,4.028381
7077888,52742.3,0.001885,4.253786,0.00063,-0.742188,0.0,0.1444,-7.3872,0.038527,0.053741,0.033692,3.072469,4.52093
7864320,54170.6,-0.002966,3.814657,0.00057,-0.804688,0.0,0.1511,-7.2987,0.042841,0.047614,0.034599,3.276686,5.628783
8650752,50090.9,-0.004919,4.431347,0.000546,-0.832031,0.0,0.1544,-7.2482,0.039589,0.038624,0.029625,4.957977,4.958323
9437184,51399.9,-0.004408,3.947875,0.002456,-0.820312,0.0,0.1489,-7.2683,0.022209,0.0269,0.020251,5.257737,5.32076
10223616,52536.4,0.004222,4.090498,0.000574,-0.8125,0.0,0.1444,-7.2869,0.021748,0.027731,0.01985,5.432839,6.309931
11010048,53557.9,-0.006583,3.863487,0.000599,-0.835938,0.0,0.1405,-7.2966,0.018275,0.027047,0.018628,5.468803,6.535047
11796480,51295.5,-0.000212,3.867009,0.000635,-0.835938,0.0,0.1369,-7.2879,0.026922,0.0326,0.018918,5.52558,7.64369
12582912,52226.9,-0.005109,3.68736,0.000751,-0.808594,0.0,0.1333,-7.2838,0.02234,0.041976,0.021641,4.332131,8.653135
13369344,53130.4,0.004242,3.8271,0.000469,-0.796875,0.0,0.131,-7.2799,0.012337,0.021003,0.013041,6.633502,7.215554
