step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
786432,47051.3,0.002797,3.646463,0.008891,-0.043701,0.0,0.1439,-7.63,0.065536,0.099575,0.120862,0.001286,0.010795
1572864,57919.1,0.004481,3.825503,0.00061,-0.084961,0.0,0.1422,-7.6347,0.090555,0.092016,0.072798,0.015993,0.337492
2359296,63157.4,0.003994,3.618476,0.000879,-1.03125,0.0,0.1394,-7.6159,0.127207,0.13935,0.113863,0.030322,0.449561
3145728,48030.2,0.00264,3.915222,0.000911,-0.71875,0.0,0.1445,-7.5824,0.122505,0.079427,0.091705,0.204594,0.318298
3932160,51600.4,-0.003214,4.690305,0.000838,-0.695312,0.0,0.1574,-7.4858,0.096943,0.063318,0.079372,0.427249,0.729565
4718592,54925.3,-0.002945,4.37113,0.000967,-0.660156,0.0,0.165,-7.3959,0.098114,0.083424,0.071682,0.495904,0.86548
5505024,57430.4,0.009626,4.557653,0.001081,-0.828125,0.0,0.1718,-7.3057,0.07559,0.076163,0.077355,0.631597,1.093572
6291456,51658.9,-0.003629,4.450504,0.000919,-0.753906,0.0,0.1681,-7.258,0.042781,0.044752,0.047089,0.759691,1.036202
7077888,53852.2,-0.001367,4.020397,0.000896,-0.894531,0.0,0.1611,-7.2419,0.032101,0.065061,0.043926,0.817559,1.030901
7864320,55750.5,-0.001515,3.902591,0.000784,-0.863281,0.0,0.1546,-7.2414,0.024248,0.043424,0.034248,0.901229,0.939488
8650752,52375.8,0.004901,4.26222,0.000748,-0.808594,0.0,0.1507,-7.2451,0.03737,0.056403,0.038072,0.71668,1.166902
9437184,53832.7,-0.000807,4.335224,0.000734,-0.859375,0.0,0.1456,-7.2294,0.021964,0.044654,0.025321,0.782934,1.023776
10223616,55293.3,0.004371,3.724283,0.000666,-0.8125,0.0,0.1413,-7.2047,0.027928,0.065127,0.038997,0.845251,1.108359
11010048,56468.4,-0.004863,3.578737,0.000624,-0.742188,0.0,0.1373,-7.177,0.01438,0.040567,0.020323,0.869986,1.152715
11796480,54492.8,0.00709,4.030122,0.000653,-0.648438,0.0,0.1357,-7.1638,0.019659,0.048793,0.022605,0.990884,1.081102
12582912,55556.0,-0.004718,3.939919,0.000641,-0.625,0.0,0.1348,-7.166,0.026326,0.038737,0.023008,0.864288,1.01441
13369344,56631.1,-0.001577,3.897881,0.000642,-0.589844,0.0,0.1343,-7.1601,0.0114,0.019689,0.010758,0.771394,1.584315
