step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
3501195264,232086905.5,0.012184,0.324575,0.000864,-0.667969,0.0,0.9783,0.7091,0.005446,0.004518,0.00867,2.537697,4.308816,0.00031911
3501981696,137739250.9,0.005385,0.446618,0.00099,-0.613281,0.0,0.9707,0.6609,0.004181,0.004305,0.006594,2.838081,4.413769,0.00049175
3502768128,98143201.8,0.002635,0.585225,0.001095,-0.597656,0.0,0.9655,0.6285,0.003959,0.004435,0.006097,2.936717,4.547978,0.00053392
3503554560,53438508.9,0.003167,0.673192,0.001403,-0.585938,0.0,0.9637,0.6176,0.003755,0.003755,0.005066,2.83393,4.653469,0.00047822
3504340992,46254536.3,-0.001655,0.587901,0.001656,-0.535156,0.0,0.9629,0.6383,0.003848,0.003733,0.005736,2.869113,5.023443,0.00053386
3505127424,40330383.2,-9.6e-05,0.596721,0.001742,-0.507812,0.0,0.9614,0.6376,0.003543,0.003836,0.005411,2.868284,5.590632,0.00045245
3505913856,35910913.5,0.001892,0.744951,0.001839,-0.535156,0.0,0.9603,0.6328,0.003151,0.003709,0.004728,3.080772,5.761735,0.00043582
3506700288,27650984.9,-0.000316,0.66913,0.001744,-0.503906,0.0,0.9605,0.64,0.002792,0.003852,0.004555,3.062998,5.997691,0.00041794
3507486720,25474737.8,-0.006982,0.708137,0.001749,-0.480469,0.0,0.9588,0.626,0.003424,0.004069,0.004641,3.113115,6.088981,0.00041731
3508273152,23660590.7,-0.003349,0.720275,0.001683,-0.476562,0.0,0.9572,0.6178,0.002245,0.003526,0.004687,3.025823,6.391672,0.00047504
3509059584,18397419.6,0.000678,0.783542,0.001758,-0.474609,0.0,0.9555,0.6113,0.002774,0.00323,0.004326,3.484572,6.680758,0.00041625
3509846016,17367616.5,0.001828,1.193443,0.001843,-0.490234,0.0,0.9539,0.5928,0.002503,0.003237,0.004756,3.396726,6.804873,0.00043417
3510632448,16501417.8,-0.006431,1.231012,0.001889,-0.494141,0.0,0.9523,0.5792,0.002497,0.003479,0.005058,3.706535,7.200052,0.00044501
3511418880,15737250.1,-0.008493,0.960228,0.001932,-0.472656,0.0,0.9498,0.557,0.002423,0.003893,0.005389,3.522723,7.368401,0.00044935
3512205312,14024142.1,0.003623,1.272411,0.00196,-0.480469,0.0,0.9475,0.5369,0.002585,0.004099,0.005016,3.106831,7.005583,0.00046104
3512991744,13482085.0,0.006578,1.136579,0.001888,-0.453125,0.0,0.9461,0.5322,0.002487,0.002837,0.003888,3.276826,7.207142,0.00042225
3513778176,12978625.9,0.004328,0.999474,0.001848,-0.445312,0.0,0.9438,0.5164,0.002891,0.002979,0.00479,3.83275,7.991308,0.00044052
3514564608,11758321.2,0.002534,1.157605,0.001868,-0.445312,0.0,0.9421,0.507,0.00239,0.002773,0.004098,3.928864,8.58162,0.00042129
3515351040,11372574.0,0.002171,1.071791,0.00202,-0.414062,0.0,0.9406,0.4992,0.002835,0.004067,0.005042,3.682929,8.359366,0.00040778
3516137472,11009972.2,0.005055,1.307495,0.001915,-0.447266,0.0,0.9394,0.4932,0.002659,0.002666,0.004305,3.85056,8.563467,0.00048324
3516923904,10679637.2,-0.002036,1.104222,0.001897,-0.431641,0.0,0.9373,0.4814,0.002984,0.003425,0.004973,3.717766,8.464446,0.0004631
3517710336,9606554.8,-0.005959,1.005718,0.001917,-0.414062,0.0,0.9364,0.4765,0.002948,0.003069,0.003697,4.035486,9.25108,0.00045802
3518496768,9319834.6,-0.002254,1.160165,0.001888,-0.419922,0.0,0.9352,0.4704,0.003515,0.004342,0.004959,4.256594,9.393463,0.00043218
3519283200,9075706.0,-0.000315,0.998568,0.001931,-0.423828,0.0,0.9338,0.4648,0.003724,0.003421,0.004647,3.966151,9.236878,0.00043319
3520069632,8304151.0,-0.000128,1.012311,0.001846,-0.408203,0.0,0.9329,0.4607,0.002786,0.002646,0.004381,3.105189,8.740791,0.0004456
3520856064,8109502.0,0.00187,0.806607,0.00165,-0.371094,0.0,0.9317,0.4619,0.002544,0.002944,0.004939,3.273587,8.882236,0.00042948
3521642496,7920517.6,-0.002775,0.734976,0.001604,-0.347656,0.0,0.9312,0.4667,0.003,0.002813,0.004775,3.189539,8.8579,0.00039152
3522428928,7740710.1,0.000982,0.658793,0.001641,-0.357422,0.0,0.9301,0.4671,0.002311,0.002938,0.004552,3.24794,9.727287,0.00039854
3523215360,7313835.7,-0.001776,0.937147,0.001817,-0.373047,0.0,0.9293,0.4678,0.00257,0.003087,0.004593,4.00847,9.65382,0.00039903
3524001792,7166918.6,0.000569,0.972757,0.001937,-0.392578,0.0,0.9278,0.4634,0.003767,0.003524,0.004734,3.522133,9.589979,0.00036568
3524788224,7021375.3,0.004326,0.807004,0.001905,-0.373047,0.0,0.9247,0.456,0.003301,0.002753,0.004527,3.342263,9.14659,0.00042112
3525574656,6669391.7,0.001838,0.843504,0.001855,-0.371094,0.0,0.9218,0.4499,0.003099,0.002792,0.004473,3.364536,8.127463,0.00038766
3526361088,6546767.3,-0.002763,0.632385,0.002006,-0.341797,0.0,0.92,0.4456,0.003009,0.002985,0.005262,3.471886,9.781688,0.00043047
3527147520,6428468.5,-0.001256,0.901664,0.002072,-0.349609,0.0,0.9186,0.4444,0.003611,0.002724,0.004307,3.558015,10.064081,0.000438
3527933952,6311691.5,-0.003914,0.83359,0.002079,-0.34375,0.0,0.9161,0.4391,0.002624,0.002352,0.004432,3.530802,9.915816,0.00039418
3528720384,6024339.9,0.000109,0.751824,0.00192,-0.320312,0.0,0.9125,0.424,0.002053,0.002325,0.003273,3.122121,9.559966,0.00045184
3529506816,5923540.8,0.001971,0.701316,0.001711,-0.322266,0.0,0.9108,0.4198,0.002119,0.002727,0.003888,3.076018,9.611339,0.00038503
3530293248,5825354.3,-0.000146,0.741023,0.00173,-0.328125,0.0,0.9098,0.418,0.002103,0.002555,0.003725,3.394263,10.178878,0.00037761
3531079680,5726608.6,0.004255,0.803834,0.001701,-0.318359,0.0,0.908,0.4154,0.00198,0.002471,0.004091,3.356006,10.134113,0.00040546
3531866112,5444729.6,0.007639,0.92886,0.001849,-0.330078,0.0,0.9055,0.4058,0.00207,0.0027,0.003751,3.689241,10.072284,0.00043036
3532652544,5361925.9,0.000332,0.766965,0.00186,-0.324219,0.0,0.9039,0.4054,0.002356,0.003288,0.004378,3.204556,10.26416,0.00043155
3533438976,5253658.1,0.002259,0.793174,0.001822,-0.328125,0.0,0.9019,0.4015,0.002449,0.003387,0.004396,3.260028,10.217062,0.00043305
3534225408,5062315.1,-0.002269,0.704395,0.00182,-0.320312,0.0,0.9007,0.3988,0.002886,0.003284,0.004659,3.646827,11.033308,0.00040279
3535011840,4990206.6,-0.000849,0.919627,0.001928,-0.330078,0.0,0.8991,0.3956,0.003671,0.003121,0.00547,3.705617,10.863386,0.00039552
3535798272,4921211.4,0.004558,0.889532,0.001909,-0.330078,0.0,0.8973,0.3954,0.003185,0.002494,0.00365,4.09462,10.977374,0.00044132
3536584704,4854821.5,0.003606,0.652412,0.001928,-0.322266,0.0,0.8961,0.4009,0.002271,0.002269,0.003654,3.435036,10.547792,0.00038907
