step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
3001024512,216394292.1,0.001742,0.022607,0.00056,-0.566406,0.0,0.988,1.0358,0.001047,0.00096,0.001529,2.284472,4.117787,0.00028515
3001810944,124449160.7,-0.00174,0.099796,0.000656,-0.523438,0.0,0.9827,1.0107,0.002044,0.001642,0.002727,2.282556,4.319707,0.00047225
3002597376,87609522.3,0.002766,0.070549,0.000778,-0.5,0.0,0.9808,1.0014,0.001699,0.001445,0.002456,2.285273,4.386532,0.00049116
3003383808,56315528.5,0.001926,0.075406,0.000855,-0.507812,0.0,0.9815,1.0018,0.001259,0.001188,0.002195,2.266584,4.331618,0.00043411
3004170240,47227426.3,0.000453,0.068586,0.000864,-0.5,0.0,0.9805,0.9961,0.001511,0.00118,0.001678,2.242603,4.319757,0.00048898
3004956672,40685137.5,0.003833,0.058454,0.00095,-0.492188,0.0,0.9804,0.9954,0.001356,0.001453,0.002024,2.284758,4.535688,0.00047766
3005743104,35373458.4,0.000782,0.063134,0.000989,-0.490234,0.0,0.9802,0.9945,0.001079,0.001313,0.001527,2.239864,4.368107,0.00048028
3006529536,27724684.7,-0.001907,0.059566,0.001028,-0.492188,0.0,0.9802,0.9958,0.001167,0.000986,0.001376,2.194411,4.531939,0.0004597
3007315968,25192900.9,-0.000411,0.043467,0.000909,-0.490234,0.0,0.9799,0.9959,0.001026,0.000738,0.001211,2.205212,4.388347,0.00045859
3008102400,23113166.2,-0.002104,0.050878,0.00095,-0.490234,0.0,0.9798,0.9965,0.000972,0.000902,0.00145,2.202398,4.412107,0.00051194
3008888832,20040009.1,-0.000938,0.05726,0.000979,-0.492188,0.0,0.9802,0.9981,0.000955,0.001053,0.001383,1.963176,4.30718,0.00047766
3009675264,18752538.0,0.001089,0.037148,0.000935,-0.488281,0.0,0.9799,0.998,0.000868,0.00103,0.001599,2.033807,4.352614,0.000439
3010461696,17605524.2,-0.007333,0.047622,0.000872,-0.488281,0.0,0.9798,0.9982,0.000948,0.000931,0.001301,2.101354,4.277018,0.00043034
3011248128,16552472.7,0.002479,0.039356,0.000875,-0.488281,0.0,0.9799,0.9987,0.001144,0.000949,0.001201,2.069514,4.257689,0.00046459
3012034560,14864432.0,-0.005588,0.044814,0.000952,-0.507812,0.0,0.9798,0.9991,0.000927,0.000875,0.001226,2.274781,4.31435,0.00052896
3012820992,14139784.0,-0.009127,0.031983,0.000962,-0.492188,0.0,0.9802,1.0008,0.001021,0.000892,0.001218,2.230549,4.299343,0.00043534
3013607424,13486185.6,-0.006653,0.042766,0.000988,-0.492188,0.0,0.9802,1.0011,0.000991,0.001015,0.00144,2.206577,4.443351,0.00050278
3014393856,12457392.6,0.000644,0.045498,0.000915,-0.511719,0.0,0.9802,1.0017,0.000939,0.000815,0.001291,2.379433,4.733132,0.0004576
3015180288,11918203.5,0.002905,0.042191,0.000883,-0.507812,0.0,0.9803,1.0023,0.001218,0.00082,0.001874,2.316729,4.582328,0.00045979
3015966720,11453445.6,-0.006685,0.048288,0.000889,-0.503906,0.0,0.9802,1.0026,0.000806,0.000964,0.001489,2.327763,4.481632,0.00052366
3016753152,11030813.2,-0.001791,0.049025,0.000835,-0.515625,0.0,0.98,1.0025,0.001103,0.000817,0.001548,2.294678,4.522373,0.00054673
3017539584,10292928.3,-0.00034,0.057766,0.000832,-0.503906,0.0,0.98,1.0025,0.000867,0.000871,0.001347,2.026053,4.339526,0.00049984
3018326016,9942289.0,-0.005873,0.035766,0.000779,-0.488281,0.0,0.9796,1.0012,0.000967,0.001025,0.00139,1.965737,4.164731,0.00044663
3019112448,9623973.8,-0.000452,0.036421,0.000781,-0.486328,0.0,0.9792,1.0006,0.000834,0.000809,0.001279,1.995391,4.174134,0.00051961
3019898880,9088327.3,7.7e-05,0.044643,0.000825,-0.507812,0.0,0.9794,1.0018,0.000659,0.000738,0.001325,2.188996,4.354506,0.00050756
3020685312,8812827.5,0.000285,0.036034,0.000793,-0.511719,0.0,0.9795,1.0033,0.000833,0.000707,0.001258,2.351964,4.318125,0.00048881
3021471744,8566443.1,-0.004466,0.041084,0.000798,-0.519531,0.0,0.9795,1.0043,0.000834,0.000758,0.001297,2.322446,4.22787,0.00048758
3022258176,8318596.4,-0.000184,0.033942,0.000817,-0.515625,0.0,0.9796,1.0063,0.000824,0.000858,0.001223,2.33091,4.429925,0.00048616
3023044608,7925394.5,0.007638,0.051614,0.000826,-0.519531,0.0,0.9796,1.0069,0.000797,0.000864,0.001234,2.265186,4.430391,0.00050509
3023831040,7707107.8,-0.004426,0.029757,0.000832,-0.511719,0.0,0.9798,1.0082,0.000827,0.000724,0.001194,2.209481,4.382264,0.00048088
3024617472,7504758.4,0.003368,0.029231,0.000816,-0.507812,0.0,0.9799,1.009,0.000699,0.00079,0.001206,2.246927,4.2998,0.00048405
3025403904,7154400.3,0.000986,0.037665,0.000808,-0.519531,0.0,0.9802,1.0105,0.00069,0.000747,0.001154,2.871538,3.753349,0.00048354
3026190336,6988332.9,0.001752,0.034966,0.000765,-0.542969,0.0,0.9803,1.0108,0.000932,0.000938,0.001471,2.339804,4.496784,0.00045858
3026976768,6825825.3,-0.004918,0.045259,0.00083,-0.53125,0.0,0.9802,1.0107,0.000992,0.001469,0.001544,2.296447,4.396652,0.00051228
3027763200,6662711.8,0.000193,0.038551,0.000841,-0.539062,0.0,0.9801,1.0106,0.000871,0.001247,0.001696,2.289806,4.361824,0.00050449
3028549632,6392468.8,-0.006162,0.05073,0.000897,-0.542969,0.0,0.9803,1.0111,0.000854,0.001185,0.001461,2.34876,4.252473,0.00049967
3029336064,6253139.6,0.007391,0.049543,0.000934,-0.519531,0.0,0.98,1.0108,0.000838,0.000966,0.001424,2.252768,4.231821,0.00054569
