step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
3001024512,193313632.8,-0.007328,0.059602,0.000545,-0.427734,0.0,0.9634,0.958,0.002198,0.002607,0.003159,1.42742,3.536554,0.00010934
3001810944,117623703.2,-0.000872,0.186914,0.000567,-0.400391,0.0,0.9561,0.9108,0.003583,0.002882,0.00397,1.450241,3.629428,0.00014539
3002597376,84516313.9,-0.003283,0.111012,0.000556,-0.392578,0.0,0.9516,0.8963,0.002746,0.002097,0.002696,1.503883,3.775192,0.00014575
3003383808,44919335.8,-0.003644,0.130091,0.000569,-0.390625,0.0,0.9501,0.8914,0.001779,0.002276,0.002884,1.626619,3.743259,0.00013478
3004170240,39147843.8,-7.8e-05,0.11869,0.000538,-0.371094,0.0,0.9505,0.8913,0.002009,0.00201,0.003278,1.687183,3.844848,0.00014443
3004956672,34668434.6,-0.005329,0.082008,0.00054,-0.380859,0.0,0.9496,0.8903,0.001867,0.001741,0.003306,1.445809,4.247415,0.0001336
3005743104,31110004.1,-0.005025,0.113458,0.000531,-0.369141,0.0,0.9477,0.8877,0.002076,0.002136,0.002385,1.482913,4.314901,0.00014166
3006529536,23202078.5,0.003253,0.110418,0.000554,-0.359375,0.0,0.9464,0.8848,0.002043,0.002378,0.00344,1.499087,4.365695,0.00013703
3007315968,21553834.6,0.0002,0.089759,0.000539,-0.349609,0.0,0.9457,0.8852,0.002277,0.002607,0.002722,1.653582,4.49876,0.00011931
3008102400,20117624.5,0.001339,0.077839,0.000523,-0.345703,0.0,0.9449,0.8842,0.0021,0.002358,0.002383,1.710559,4.497756,0.0001403
3008888832,16573067.2,-0.00191,0.081504,0.000549,-0.333984,0.0,0.9449,0.8848,0.001754,0.00236,0.002371,1.493798,4.886294,0.0001168
3009675264,15727203.9,-0.000744,0.07973,0.000549,-0.333984,0.0,0.9441,0.8858,0.00152,0.002728,0.003656,1.633319,4.97608,0.00012134
3010461696,14963249.1,-0.004591,0.076211,0.000556,-0.337891,0.0,0.9433,0.8851,0.001389,0.001832,0.002227,1.579173,4.98954,0.00013061
3011248128,14269425.8,-0.002889,0.071729,0.000565,-0.328125,0.0,0.9429,0.8859,0.001258,0.002132,0.002326,1.642037,4.972908,0.00013076
3012034560,12528456.7,-0.009807,0.092988,0.000541,-0.322266,0.0,0.9419,0.8841,0.00213,0.001959,0.002875,1.684415,4.897427,0.00013694
3012820992,12041273.8,0.006761,0.103423,0.000524,-0.314453,0.0,0.9413,0.8828,0.00189,0.001703,0.002139,1.787357,4.883394,0.00011571
3013607424,11586805.4,-0.002003,0.075229,0.000527,-0.310547,0.0,0.9413,0.8834,0.001726,0.002054,0.002393,1.574232,5.280233,0.00012622
3014393856,10454662.5,-8.5e-05,0.083359,0.000536,-0.3125,0.0,0.9417,0.8847,0.001824,0.001451,0.001931,1.473477,5.390993,0.0001186
3015180288,10113255.2,-0.00028,0.095512,0.000579,-0.304688,0.0,0.942,0.8855,0.002829,0.002408,0.003105,1.546592,5.180397,0.00011872
3015966720,9778886.6,0.001937,0.078733,0.00057,-0.298828,0.0,0.9416,0.8858,0.002008,0.001907,0.002321,1.591622,5.201591,0.00013632
3016753152,9474468.6,-0.002937,0.077658,0.000557,-0.306641,0.0,0.9411,0.8852,0.001752,0.001771,0.002661,1.646277,5.19613,0.00012593
3017539584,8597262.4,-0.003608,0.074282,0.000571,-0.296875,0.0,0.9407,0.8846,0.001616,0.001765,0.002675,1.385047,5.365752,0.00012811
3018326016,8366123.0,0.004555,0.047296,0.00057,-0.285156,0.0,0.9407,0.8862,0.001459,0.001797,0.002089,1.487236,5.323511,0.0001092
3019112448,8143688.4,-0.001336,0.041793,0.000576,-0.291016,0.0,0.9407,0.8881,0.001221,0.001315,0.001708,1.483869,5.379658,0.00012748
3019898880,7544161.6,-0.006289,0.05754,0.000589,-0.292969,0.0,0.9409,0.8895,0.001663,0.001722,0.001826,1.556666,5.328626,0.00012119
3020685312,7364897.5,-0.005321,0.072682,0.000568,-0.300781,0.0,0.9413,0.8909,0.002503,0.001579,0.002249,1.822867,5.425918,0.0001273
3021471744,7193935.2,-1.6e-05,0.061318,0.000572,-0.296875,0.0,0.9415,0.8921,0.001629,0.001718,0.002193,1.757779,5.337455,0.0001235
3022258176,7031590.0,-0.003733,0.059871,0.000576,-0.294922,0.0,0.9415,0.8928,0.002922,0.001947,0.002664,1.551855,5.578766,0.00012989
3023044608,6600731.9,-0.000445,0.082691,0.000578,-0.302734,0.0,0.9418,0.894,0.001464,0.001774,0.002476,1.59381,5.625178,0.00012698
3023831040,6460570.4,0.001611,0.065543,0.000587,-0.289062,0.0,0.9416,0.8935,0.001644,0.001955,0.002012,1.653887,5.525268,0.00011231
3024617472,6326740.5,-0.001722,0.067671,0.000587,-0.289062,0.0,0.9418,0.8963,0.00155,0.001861,0.002317,1.671641,5.514163,0.00011775
3025403904,5953851.1,-0.000418,0.063622,0.00057,-0.292969,0.0,0.9421,0.8975,0.001523,0.001431,0.002036,1.9588,5.288775,0.00011454
3026190336,5841152.7,0.003051,0.052259,0.000589,-0.283203,0.0,0.9423,0.8995,0.001462,0.001419,0.001888,1.499944,5.566799,0.00012425
3026976768,5731986.4,0.000828,0.051234,0.000605,-0.285156,0.0,0.9421,0.9011,0.001555,0.00163,0.001868,1.495532,5.57249,0.00012738
3027763200,5626153.7,-0.001656,0.043703,0.000612,-0.292969,0.0,0.9424,0.9035,0.001339,0.001219,0.001714,1.504217,5.605337,0.0001246
3028549632,5342373.2,0.003713,0.06322,0.000597,-0.300781,0.0,0.9419,0.9039,0.001503,0.001713,0.001743,1.734998,5.626548,0.00012494
3029336064,5251724.6,-0.001422,0.054591,0.000584,-0.302734,0.0,0.9424,0.9065,0.001458,0.001966,0.002312,1.729756,5.534649,0.00012444
3030122496,5165115.9,0.001536,0.064977,0.000594,-0.300781,0.0,0.9433,0.9089,0.001448,0.001976,0.002466,1.653172,5.832666,0.00012577
3030908928,5078191.0,-0.001605,0.060643,0.000599,-0.292969,0.0,0.9439,0.9113,0.001961,0.001871,0.002272,1.630515,5.775673,0.00013554
3031695360,4848909.4,-0.005233,0.078686,0.000613,-0.302734,0.0,0.9447,0.9135,0.00187,0.002327,0.002934,1.52716,5.732703,0.0001411
3032481792,4771286.9,0.008402,0.077922,0.000631,-0.294922,0.0,0.9452,0.9147,0.001757,0.002182,0.002479,1.672401,5.703704,0.00013679
3033268224,4697710.0,0.000653,0.063333,0.000629,-0.294922,0.0,0.9456,0.9162,0.001621,0.001728,0.002009,1.730949,5.758813,0.0001344
3034054656,4476164.0,-0.001434,0.064068,0.000635,-0.296875,0.0,0.9459,0.9175,0.001658,0.001885,0.002108,1.533115,5.933515,0.00012265
3034841088,4410347.6,-0.003121,0.055732,0.000609,-0.291016,0.0,0.9463,0.9201,0.001506,0.00177,0.002567,1.582341,5.918836,0.00012937
3035627520,4348544.3,-0.001134,0.051497,0.000606,-0.294922,0.0,0.9468,0.9224,0.001282,0.001563,0.001934,1.602822,5.83587,0.00013214
3036413952,4286987.7,0.003608,0.044383,0.000609,-0.289062,0.0,0.9475,0.9244,0.001181,0.001359,0.002119,1.65248,5.796955,0.0001224
3037200384,4112069.9,-0.006653,0.067443,0.000661,-0.300781,0.0,0.9477,0.9257,0.002365,0.001602,0.002564,1.789379,5.691753,0.00012972
3037986816,4057322.6,0.004579,0.071881,0.000657,-0.289062,0.0,0.9478,0.9261,0.001923,0.001561,0.002548,1.912594,5.655299,0.00012179
3038773248,4005228.9,0.000972,0.047905,0.000663,-0.296875,0.0,0.9484,0.9278,0.001623,0.001502,0.001975,1.652845,5.905616,0.00013102
3039559680,3850030.4,-0.005188,0.057609,0.000664,-0.302734,0.0,0.9487,0.9289,0.002059,0.001575,0.001968,1.617273,6.02002,0.00012788
3040346112,3802646.2,-0.00231,0.077344,0.000647,-0.308594,0.0,0.9493,0.9298,0.002421,0.001979,0.002603,1.69546,5.909708,0.00012252
3041132544,3756565.6,-0.006383,0.05378,0.00063,-0.298828,0.0,0.9503,0.9313,0.001486,0.002194,0.002076,1.805351,5.913291,0.00013067
3041918976,3709964.4,-0.004752,0.042651,0.000618,-0.304688,0.0,0.9509,0.9326,0.001282,0.001717,0.001799,1.853256,5.940389,0.00012405
3042705408,3579484.5,0.004928,0.073282,0.000645,-0.308594,0.0,0.9515,0.9337,0.001783,0.002294,0.002398,1.71952,6.079853,0.00013667
3043491840,3538939.5,0.001908,0.085853,0.000603,-0.318359,0.0,0.9513,0.9331,0.00162,0.001801,0.001997,1.742041,6.048389,0.00013859
3044278272,3499699.2,0.004747,0.074911,0.000635,-0.3125,0.0,0.9515,0.9332,0.002643,0.002098,0.002661,1.839639,5.863976,0.00012805
3045064704,3381922.8,-0.00276,0.073041,0.000672,-0.310547,0.0,0.9517,0.9335,0.001787,0.001657,0.002041,1.836805,5.67955,0.00013377
3045851136,3346787.7,0.001379,0.066295,0.000663,-0.3125,0.0,0.9523,0.9346,0.001665,0.001679,0.002503,1.946689,5.769491,0.00013427
3046637568,3312168.8,0.006734,0.068889,0.000678,-0.310547,0.0,0.9521,0.9343,0.00167,0.001471,0.002003,1.954581,5.830879,0.00013754
3047424000,3278111.5,-0.004027,0.091011,0.000667,-0.3125,0.0,0.9517,0.9334,0.001901,0.001546,0.002578,1.768356,6.224638,0.00013738
3048210432,3177346.4,-0.001339,0.088693,0.00067,-0.314453,0.0,0.9519,0.9326,0.002192,0.001667,0.003041,1.85881,6.349283,0.00013779
3048996864,3146164.4,0.000999,0.103042,0.000659,-0.300781,0.0,0.952,0.9307,0.003046,0.002597,0.003549,1.884691,6.312829,0.00014208
3049783296,3115313.2,0.001614,0.09239,0.000659,-0.308594,0.0,0.952,0.9287,0.002471,0.002487,0.003195,1.921569,6.342701,0.00014146
3050569728,3006369.8,0.003585,0.082627,0.000651,-0.310547,0.0,0.952,0.9272,0.002146,0.00176,0.002911,2.255414,5.934653,0.00011877
3051356160,2978156.1,0.00166,0.082137,0.000601,-0.296875,0.0,0.9521,0.9269,0.001991,0.00188,0.002183,1.919118,6.566919,0.00012339
3052142592,2950289.8,0.000933,0.075103,0.000602,-0.298828,0.0,0.952,0.9257,0.001535,0.001758,0.002276,1.932542,6.604837,0.00013495
3052929024,2923043.1,-0.004893,0.060251,0.000609,-0.292969,0.0,0.9517,0.9246,0.001839,0.001621,0.002115,1.92689,6.577978,0.00012278
3053715456,2837665.0,0.000266,0.068891,0.00063,-0.300781,0.0,0.9518,0.9245,0.001848,0.001489,0.002256,1.996944,6.46495,0.0001364
3054501888,2812234.4,-0.001306,0.062118,0.000625,-0.292969,0.0,0.9517,0.9241,0.001317,0.002232,0.002247,1.986303,6.368141,0.00013667
3055288320,2787527.1,-0.000571,0.071826,0.000647,-0.292969,0.0,0.952,0.9241,0.001886,0.001637,0.002338,1.928273,6.626623,0.00013159
3056074752,2763405.4,0.000649,0.070693,0.000622,-0.300781,0.0,0.9516,0.9225,0.001968,0.001462,0.002567,1.83489,6.701641,0.00013
3056861184,2699060.1,-0.002436,0.066755,0.000651,-0.292969,0.0,0.952,0.9226,0.001958,0.001626,0.00279,1.915695,6.730053,0.000108
3057647616,2676819.4,0.005043,0.08044,0.00064,-0.283203,0.0,0.9521,0.9227,0.001861,0.002027,0.002649,1.974504,6.77808,0.00011952
3058434048,2654954.2,-0.002005,0.048312,0.000628,-0.287109,0.0,0.9519,0.9222,0.001218,0.001104,0.001784,1.984084,6.675767,0.00012514
3059220480,2594780.1,-0.005129,0.061324,0.000632,-0.302734,0.0,0.9512,0.9215,0.002398,0.0022,0.003489,1.802588,6.640409,0.00012556
3060006912,2574190.9,0.007266,0.103693,0.000646,-0.316406,0.0,0.9505,0.9197,0.002911,0.002968,0.003103,1.853534,6.57004,0.00013656
3060793344,2554001.4,-0.002779,0.082035,0.000642,-0.3125,0.0,0.9497,0.9172,0.002046,0.002643,0.002859,1.907822,6.561919,0.0001246
3061579776,2534085.0,0.00236,0.066309,0.00065,-0.318359,0.0,0.9483,0.9135,0.001724,0.002599,0.00297,1.92381,6.547452,0.00012897
3062366208,2472251.1,-0.00265,0.07211,0.000648,-0.306641,0.0,0.9472,0.9116,0.001696,0.001633,0.002568,2.138261,6.564484,0.00014863
3063152640,2453337.7,1.8e-05,0.082808,0.000638,-0.302734,0.0,0.946,0.9094,0.001731,0.001775,0.002294,2.147619,6.670732,0.00013677
3063939072,2434771.7,0.002475,0.062031,0.000631,-0.302734,0.0,0.9456,0.9089,0.001482,0.00179,0.002135,1.905119,6.907914,0.00013602
3064725504,2380944.3,-0.006852,0.085656,0.000657,-0.302734,0.0,0.9453,0.9081,0.001799,0.00187,0.002408,2.066719,6.966176,0.00011429
3065511936,2363405.5,0.001685,0.078679,0.000653,-0.308594,0.0,0.9452,0.908,0.002102,0.0021,0.002952,2.109003,6.826307,0.00013113
3066298368,2345777.5,-0.00306,0.065752,0.000665,-0.308594,0.0,0.9446,0.9063,0.001398,0.001755,0.00208,2.081403,6.72809,0.00013602
3067084800,2328547.1,-0.00827,0.050433,0.000649,-0.302734,0.0,0.9441,0.9061,0.001384,0.001687,0.001805,2.184417,6.675678,0.00014901
3067871232,2275067.4,-0.000751,0.104643,0.000641,-0.296875,0.0,0.9437,0.9054,0.002396,0.001909,0.003229,1.976732,7.081019,0.00014435
3068657664,2258933.9,-0.000794,0.068523,0.000635,-0.292969,0.0,0.9442,0.9064,0.00175,0.001868,0.00266,2.001542,7.093772,0.00012849
3069444096,2243316.8,0.000526,0.053677,0.000648,-0.292969,0.0,0.9445,0.9072,0.001512,0.00153,0.0021,2.070141,7.191182,0.00012914
3070230528,2201031.7,-0.004517,0.077288,0.00067,-0.298828,0.0,0.9445,0.9086,0.001924,0.001891,0.002375,1.955729,6.911813,0.00013122
3071016960,2185583.8,-0.002458,0.079057,0.000661,-0.296875,0.0,0.9445,0.9093,0.001903,0.002236,0.002606,2.129234,7.039923,0.00014149
3071803392,2170671.1,0.004562,0.092713,0.00064,-0.296875,0.0,0.9443,0.9093,0.001726,0.00212,0.002054,2.206904,6.946624,0.000143
