step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
4001366016,244641198.8,0.013141,0.52592,0.00089,-0.302734,0.0,0.97,0.5651,0.00627,0.005497,0.008885,4.337444,15.357008,0.00010543
4002152448,150778268.7,0.000745,1.27024,0.000816,-0.326172,0.0,0.9609,0.4648,0.004225,0.004633,0.007432,5.139182,15.960096,0.00018278
4002938880,109175318.8,-0.004826,1.658844,0.000837,-0.314453,0.0,0.9515,0.4192,0.003514,0.004436,0.005941,5.163218,16.424675,0.00020781
4003725312,63442514.6,0.003081,2.087055,0.000912,-0.304688,0.0,0.9418,0.3486,0.004149,0.00438,0.00619,4.987217,16.886909,0.0001948
4004511744,54886422.9,0.005475,2.533441,0.000933,-0.298828,0.0,0.9352,0.3018,0.004136,0.004377,0.005596,4.688092,17.446211,0.00021034
4005298176,48332173.3,0.001627,2.417986,0.000975,-0.287109,0.0,0.9303,0.275,0.003726,0.003123,0.004282,5.854825,18.943104,0.00021685
4006084608,43065082.4,0.004499,2.301171,0.000955,-0.279297,0.0,0.9241,0.255,0.004404,0.003586,0.00523,5.308987,19.299135,0.0002268
4006871040,33445770.1,0.002252,3.609081,0.001031,-0.3125,0.0,0.9187,0.2079,0.003065,0.004013,0.005661,6.026978,19.666168,0.00022008
4007657472,30929570.8,0.009212,3.156789,0.001,-0.306641,0.0,0.9142,0.182,0.003441,0.004925,0.006103,5.812694,19.559841,0.00021168
4008443904,28764130.1,0.002691,2.025184,0.001088,-0.267578,0.0,0.9096,0.1766,0.003314,0.004019,0.004733,5.453286,19.896009,0.00024171
4009230336,24034011.6,0.000359,3.042607,0.001094,-0.28125,0.0,0.9079,0.1681,0.003994,0.003488,0.005316,6.851359,21.641109,0.00021567
4010016768,22674867.8,0.002002,3.750164,0.001085,-0.287109,0.0,0.9052,0.1434,0.003329,0.00325,0.003882,6.67035,21.854549,0.0002272
4010803200,21456701.4,-0.003623,2.974696,0.001116,-0.279297,0.0,0.9018,0.1307,0.005188,0.00353,0.0049,6.892688,21.676947,0.00021337
4011589632,20362463.2,-0.000629,2.901551,0.001174,-0.277344,0.0,0.8984,0.1108,0.004541,0.003957,0.0054,6.405834,21.058842,0.00021666
4012376064,18025236.8,0.007102,3.060435,0.001225,-0.296875,0.0,0.8945,0.082,0.003639,0.003785,0.004842,5.701424,19.850912,0.00022436
4013162496,17236337.3,0.004226,2.805409,0.00125,-0.279297,0.0,0.8902,0.069,0.003391,0.003812,0.004342,5.04004,19.950638,0.0002134
4013948928,16520373.0,0.006799,3.468731,0.001214,-0.291016,0.0,0.8881,0.0575,0.003689,0.003814,0.004792,6.368232,22.47403,0.0002228
4014735360,14915436.9,-0.002278,3.081451,0.001217,-0.273438,0.0,0.8845,0.0403,0.002886,0.004083,0.004755,6.201157,22.435514,0.00022792
4015521792,14385805.2,0.002806,2.865201,0.001292,-0.273438,0.0,0.882,0.0236,0.005312,0.004577,0.006232,6.649765,22.603333,0.00022732
4016308224,13893348.7,0.011769,3.459334,0.0013,-0.294922,0.0,0.8789,0.0004,0.003199,0.003862,0.004967,6.063293,22.489471,0.00024935
4017094656,13433424.5,0.00658,2.852596,0.001332,-0.289062,0.0,0.8749,-0.0179,0.004488,0.003789,0.006137,6.039131,22.268436,0.00027693
4017881088,12391470.3,0.007187,2.902993,0.001347,-0.265625,0.0,0.872,-0.0235,0.00546,0.004176,0.005716,7.054295,24.323065,0.00028058
