step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
4001366016,256340049.2,0.01007,0.65361,0.000895,-0.318359,0.0,0.9686,0.6038,0.00279,0.002788,0.004552,4.267675,15.647594,0.00012158
4002152448,156120593.2,0.004594,1.169211,0.000916,-0.332031,0.0,0.9605,0.5761,0.002705,0.002428,0.004551,5.470726,15.849479,0.00017881
4002938880,112499974.6,-0.001771,1.751908,0.00091,-0.339844,0.0,0.9478,0.4564,0.00188,0.001949,0.003612,6.024098,15.955137,0.0002079
4003725312,55316313.1,0.01147,2.636276,0.000951,-0.365234,0.0,0.938,0.3672,0.001611,0.002013,0.002921,5.976924,15.874526,0.00019943
4004511744,48338973.0,0.009076,3.19957,0.000975,-0.380859,0.0,0.9267,0.262,0.001788,0.001808,0.002937,4.986126,15.843658,0.00021781
4005298176,42828950.9,0.007848,3.568103,0.000953,-0.378906,0.0,0.9191,0.2064,0.001717,0.001952,0.003238,6.750194,17.769129,0.00023227
4006084608,38659798.5,-0.003413,4.079972,0.00099,-0.390625,0.0,0.9073,0.1257,0.001408,0.001926,0.002836,7.828141,18.484522,0.00023423
4006871040,29326709.4,0.004359,4.573586,0.000952,-0.378906,0.0,0.8968,0.0348,0.001501,0.001687,0.002646,6.912985,18.526394,0.00022305
4007657472,27332578.0,0.002153,3.593896,0.000937,-0.367188,0.0,0.8898,-0.0003,0.001455,0.001988,0.002373,6.064513,18.459164,0.00023223
4008443904,25573488.9,0.002905,4.037323,0.000972,-0.363281,0.0,0.885,-0.0335,0.001314,0.001832,0.002273,6.003625,18.110601,0.0002319
4009230336,21472363.5,0.001135,2.602193,0.000978,-0.308594,0.0,0.8827,-0.0293,0.001541,0.001502,0.002214,6.832919,19.748144,0.00023005
4010016768,20391007.1,0.003946,4.059232,0.001012,-0.333984,0.0,0.8784,-0.0575,0.00159,0.001669,0.002503,7.717381,20.598068,0.00022882
4010803200,19412478.7,-0.002319,3.649161,0.001025,-0.326172,0.0,0.8752,-0.0856,0.00135,0.001799,0.002853,6.836058,20.761824,0.00024664
4011589632,18526370.4,-0.001871,3.917606,0.00104,-0.335938,0.0,0.8726,-0.1121,0.001567,0.001597,0.00212,7.346254,20.97192,0.00025065
4012376064,16163646.1,0.001725,4.275776,0.001088,-0.345703,0.0,0.8699,-0.145,0.001324,0.001629,0.002321,6.630164,20.459328,0.00027071
4013162496,15509356.9,-0.001305,5.314852,0.001074,-0.376953,0.0,0.8677,-0.1867,0.00152,0.001811,0.002747,6.071366,20.315475,0.000246
4013948928,14923694.2,0.006928,4.336987,0.001054,-0.355469,0.0,0.8659,-0.2041,0.001564,0.001859,0.00226,7.814837,21.820934,0.00028711
4014735360,13072621.6,-0.000974,4.259366,0.001115,-0.339844,0.0,0.8637,-0.2247,0.001368,0.001583,0.002344,7.687454,22.434387,0.00025404
4015521792,12668716.7,0.005381,3.90956,0.001116,-0.318359,0.0,0.8621,-0.2366,0.001287,0.001691,0.002419,7.295445,22.269241,0.00026007
4016308224,12287475.4,-0.00219,4.082981,0.001116,-0.330078,0.0,0.8603,-0.2474,0.001283,0.001381,0.002153,7.236024,21.943771,0.00027655
4017094656,11927395.9,0.005295,4.36316,0.00111,-0.332031,0.0,0.8582,-0.261,0.00142,0.001685,0.002542,6.687755,21.739254,0.00027787
4017881088,10846819.4,0.009905,4.110601,0.001049,-0.3125,0.0,0.8565,-0.2697,0.001102,0.001362,0.002185,7.421394,23.241032,0.00028722
4018667520,10562419.8,0.00239,4.961606,0.001044,-0.330078,0.0,0.8542,-0.2818,0.001493,0.001476,0.002173,8.59024,23.516708,0.00025629
4019453952,10286300.4,-0.004174,4.072282,0.000995,-0.314453,0.0,0.8521,-0.3004,0.001386,0.001432,0.001885,6.532082,23.479467,0.00027576
4020240384,9444051.1,0.00321,3.762342,0.001055,-0.302734,0.0,0.8504,-0.2998,0.001081,0.001604,0.002156,6.933368,22.59222,0.00026165
4021026816,9230308.4,-0.006016,4.284614,0.001034,-0.320312,0.0,0.8488,-0.3102,0.001281,0.001591,0.002523,6.551798,22.570816,0.00026741
4021813248,9026127.4,-0.00218,4.128732,0.00101,-0.316406,0.0,0.8471,-0.3208,0.001513,0.001709,0.00239,5.031298,21.586597,0.00027102
4022599680,8829118.8,-0.00093,4.247244,0.001021,-0.310547,0.0,0.8463,-0.3251,0.001492,0.001569,0.002397,7.719392,24.1406,0.00028147
4023386112,8136683.3,0.001404,4.857512,0.001098,-0.324219,0.0,0.8453,-0.3346,0.001495,0.001626,0.001942,8.627397,24.093475,0.00027236
4024172544,7974720.9,0.003398,5.02609,0.001083,-0.34375,0.0,0.8442,-0.3494,0.001576,0.001878,0.002104,8.198985,23.776342,0.00024913
4024958976,7819983.1,-0.001451,4.790383,0.001104,-0.328125,0.0,0.8431,-0.3592,0.001536,0.00173,0.002011,7.270418,23.213348,0.00027593
4025745408,7275007.2,0.003079,4.377193,0.00108,-0.328125,0.0,0.8421,-0.3688,0.001434,0.001754,0.00213,5.269763,20.676495,0.00029423
4026531840,7147031.0,0.005764,4.719254,0.001094,-0.316406,0.0,0.841,-0.3756,0.00186,0.001581,0.002656,8.265646,24.571266,0.00026017
4027318272,7024180.6,-0.000647,5.480962,0.001094,-0.330078,0.0,0.8396,-0.3901,0.001581,0.0015,0.002317,7.927549,24.989975,0.00029507
4028104704,6903144.9,0.001738,4.483531,0.001093,-0.308594,0.0,0.8369,-0.4046,0.00146,0.001686,0.002399,7.847373,24.783987,0.00028691
4028891136,6414068.2,0.000562,4.998004,0.00109,-0.328125,0.0,0.8312,-0.4478,0.001727,0.00154,0.002008,6.934666,23.553478,0.00030588
4029677568,6314424.5,0.001902,4.804161,0.001035,-0.322266,0.0,0.8259,-0.4877,0.001711,0.001851,0.002018,5.453061,23.028921,0.00030458
4030464000,6218018.8,-0.003128,3.810554,0.001056,-0.302734,0.0,0.8227,-0.5025,0.001306,0.001439,0.002267,7.853689,25.19165,0.00030296
4031250432,6124538.5,-0.002356,4.148921,0.001058,-0.292969,0.0,0.8194,-0.5181,0.001588,0.001448,0.001959,7.980773,25.423576,0.00027452
4032036864,5806885.6,-0.000642,4.04466,0.001133,-0.292969,0.0,0.8159,-0.53,0.001231,0.001265,0.001871,8.064399,25.13501,0.00027488
4032823296,5726130.8,-0.002941,3.536407,0.001153,-0.294922,0.0,0.8132,-0.5392,0.001721,0.001327,0.002177,6.790382,24.641064,0.00028683
4033609728,5646821.3,0.008888,3.784656,0.001067,-0.289062,0.0,0.8116,-0.5404,0.001077,0.001291,0.002044,6.111148,24.371487,0.00030264
4034396160,5250191.6,-0.004086,2.746363,0.001075,-0.263672,0.0,0.8108,-0.5347,0.001241,0.001024,0.00176,6.998699,25.819609,0.00026722
4035182592,5183182.8,0.000254,4.013177,0.001091,-0.283203,0.0,0.8097,-0.5301,0.00124,0.001474,0.001736,7.048988,26.021582,0.00028818
4035969024,5104102.4,0.001436,3.435018,0.001123,-0.267578,0.0,0.8088,-0.5248,0.001456,0.001438,0.002385,7.672147,25.637762,0.00028305
4036755456,5031342.4,0.002759,2.984696,0.001108,-0.271484,0.0,0.8074,-0.5204,0.001523,0.001422,0.002121,6.551773,25.411825,0.00027009
4037541888,4806797.8,-0.002457,3.417369,0.00107,-0.287109,0.0,0.806,-0.5238,0.001046,0.001379,0.002024,6.149436,24.526585,0.000261
4038328320,4751359.6,-0.0035,3.586796,0.001008,-0.289062,0.0,0.8041,-0.5212,0.001328,0.001537,0.002524,5.832472,23.910023,0.00023516
4039114752,4696898.2,0.002547,2.573917,0.001065,-0.267578,0.0,0.8031,-0.5192,0.000957,0.001521,0.002073,6.612761,26.219198,0.00025528
4039901184,4505012.8,0.000196,3.21866,0.001127,-0.275391,0.0,0.8016,-0.5074,0.001389,0.001408,0.002433,7.475152,26.447256,0.00024586
4040687616,4455856.1,0.006442,3.891793,0.001102,-0.292969,0.0,0.7999,-0.5026,0.001485,0.001827,0.003058,7.790874,25.556051,0.00023886
4041474048,4407705.8,-0.002903,3.575352,0.001075,-0.302734,0.0,0.7979,-0.4989,0.001549,0.001653,0.002593,7.493454,25.44772,0.00029608
4042260480,4360571.3,-0.004345,3.264755,0.001095,-0.292969,0.0,0.7961,-0.4945,0.001233,0.001235,0.002173,6.779624,24.841221,0.00028373
4043046912,4142604.7,0.001067,4.972921,0.001126,-0.314453,0.0,0.7946,-0.5013,0.001186,0.001263,0.001974,8.46873,26.893894,0.00030335
4043833344,4101073.0,0.0018,5.092846,0.001089,-0.326172,0.0,0.7925,-0.5139,0.001293,0.001442,0.002431,9.325899,26.731527,0.00028901
4044619776,4060369.3,0.003001,4.633672,0.001132,-0.318359,0.0,0.7908,-0.5184,0.001395,0.001359,0.002234,9.381125,26.791943,0.00028741
4045406208,3928521.3,0.002873,4.873566,0.001231,-0.322266,0.0,0.7892,-0.5295,0.001706,0.001473,0.00258,6.93312,26.072521,0.00030693
4046192640,3891221.2,0.005227,3.24685,0.001129,-0.277344,0.0,0.7881,-0.5287,0.00164,0.001735,0.002614,7.285389,25.68852,0.00032385
4046979072,3855434.8,0.007517,3.578474,0.001145,-0.285156,0.0,0.7869,-0.526,0.001545,0.001709,0.002259,5.72463,25.143215,0.00030145
4047765504,3819433.5,-0.000661,3.324011,0.001145,-0.271484,0.0,0.7861,-0.5303,0.001225,0.001557,0.002213,7.089226,27.941723,0.00031559
4048551936,3694492.5,0.004051,4.813242,0.001191,-0.285156,0.0,0.7847,-0.533,0.001203,0.001367,0.002084,9.43973,27.760321,0.00029032
4049338368,3662087.0,-0.003265,3.882622,0.001163,-0.28125,0.0,0.7826,-0.5344,0.001566,0.001603,0.002564,7.205855,27.441559,0.00030489
4050124800,3630397.4,0.003878,4.143777,0.001119,-0.277344,0.0,0.7806,-0.5376,0.001325,0.001248,0.001865,6.421002,26.758131,0.00031859
4050911232,3498251.2,0.006418,3.217618,0.001073,-0.255859,0.0,0.7785,-0.5314,0.001238,0.001683,0.002134,4.797751,25.189217,0.00028063
4051697664,3469001.4,0.003369,3.453206,0.001194,-0.259766,0.0,0.7763,-0.5279,0.001331,0.001195,0.001804,7.368217,28.1474,0.00028959
4052484096,3439854.6,0.002198,3.277754,0.001199,-0.251953,0.0,0.7736,-0.5166,0.00121,0.001381,0.002204,7.774658,27.642897,0.00029081
4053270528,3411553.9,-0.004205,2.503783,0.001252,-0.241211,0.0,0.7711,-0.5048,0.001294,0.0016,0.00191,6.834778,27.54389,0.00027423
4054056960,3301666.0,0.003035,2.956616,0.001255,-0.249023,0.0,0.7691,-0.4953,0.002002,0.001519,0.002046,6.855832,26.670958,0.00028665
4054843392,3275619.2,0.004991,3.689212,0.001176,-0.28125,0.0,0.7672,-0.4918,0.001585,0.001572,0.002056,5.872428,26.408779,0.0002966
4055629824,3250084.1,-0.002896,3.20821,0.001166,-0.271484,0.0,0.7656,-0.4871,0.001296,0.001432,0.002344,8.665001,27.812149,0.00028719
4056416256,3225040.8,0.005767,3.679215,0.001188,-0.28125,0.0,0.7648,-0.4867,0.001096,0.001402,0.002113,8.453991,27.549519,0.00028139
4057202688,3103640.9,0.007048,3.783981,0.00121,-0.263672,0.0,0.7638,-0.4745,0.001128,0.001445,0.002088,6.976987,27.335819,0.00024482
4057989120,3080343.1,0.006746,2.590833,0.001164,-0.243164,0.0,0.7624,-0.4667,0.001016,0.0015,0.002155,7.208552,27.316061,0.00028446
4058775552,3057313.0,0.004521,3.449375,0.001249,-0.265625,0.0,0.7605,-0.4721,0.001075,0.001209,0.001762,6.356437,27.061184,0.00029126
4059561984,2986545.1,0.000593,3.588335,0.001234,-0.283203,0.0,0.7582,-0.4759,0.001279,0.001405,0.001776,8.699382,28.525387,0.00030615
4060348416,2965185.5,0.007944,3.587354,0.001221,-0.275391,0.0,0.7571,-0.4777,0.001496,0.001494,0.002243,8.589223,28.40131,0.00036117
4061134848,2944287.6,0.005426,3.439579,0.001213,-0.269531,0.0,0.7552,-0.4834,0.001249,0.001562,0.002268,7.129421,27.936653,0.00029171
4061921280,2923630.9,0.006638,3.604707,0.00123,-0.275391,0.0,0.7535,-0.4854,0.001371,0.001361,0.002198,7.128937,27.575878,0.00029287
4062707712,2856254.8,-0.001067,2.730686,0.001286,-0.24707,0.0,0.7517,-0.4893,0.001948,0.001458,0.002626,6.528458,26.912872,0.00030555
4063494144,2836427.3,0.000651,2.534786,0.001202,-0.251953,0.0,0.75,-0.4929,0.001518,0.001495,0.002783,5.509276,26.777325,0.00029372
4064280576,2816564.9,0.009561,2.394686,0.001271,-0.233398,0.0,0.7489,-0.4915,0.001366,0.001302,0.002328,7.349221,28.726757,0.00029665
4065067008,2734430.9,0.001384,3.108853,0.001279,-0.249023,0.0,0.7474,-0.4971,0.001273,0.001423,0.002675,7.243289,28.55978,0.00024843
4065853440,2716488.4,-0.00282,2.510447,0.001209,-0.236328,0.0,0.7457,-0.4902,0.001626,0.001482,0.002398,7.235174,28.082844,0.0002638
4066639872,2698883.2,-0.003163,3.011301,0.0012,-0.25,0.0,0.7442,-0.4857,0.001588,0.001577,0.002604,7.563474,27.562521,0.00027981
4067426304,2681059.9,0.007836,2.445498,0.001171,-0.242188,0.0,0.7421,-0.4908,0.001565,0.001356,0.0018,5.619068,26.549267,0.00030334
4068212736,2608125.9,0.00251,2.119962,0.001172,-0.228516,0.0,0.7414,-0.4804,0.001464,0.001246,0.002687,8.113303,28.1819,0.00028849
4068999168,2591289.2,-1.6e-05,2.579876,0.001178,-0.238281,0.0,0.7408,-0.4683,0.00117,0.001421,0.002316,7.552472,28.04599,0.00026572
4069785600,2575309.4,-0.000941,2.307611,0.001246,-0.232422,0.0,0.7406,-0.4516,0.00165,0.001389,0.002557,6.454632,27.840378,0.00024726
4070572032,2512661.5,0.00577,1.966949,0.001219,-0.236328,0.0,0.7404,-0.4385,0.001052,0.00153,0.002166,6.103603,27.338697,0.00026034
4071358464,2497738.9,-0.00358,2.390584,0.001244,-0.242188,0.0,0.7408,-0.4156,0.001293,0.001516,0.002485,5.736362,26.996193,0.00028327
4072144896,2482805.6,0.002018,2.28773,0.001174,-0.234375,0.0,0.7409,-0.3987,0.001222,0.001281,0.002169,5.618271,26.648827,0.00028027
4072931328,2468228.7,0.001671,2.401279,0.001159,-0.239258,0.0,0.7408,-0.3824,0.001188,0.001514,0.002279,7.797114,28.974394,0.00029035
4073717760,2408142.4,0.007991,2.942415,0.001162,-0.251953,0.0,0.7406,-0.3688,0.001092,0.001463,0.002241,6.941,29.160202,0.00025984
4074504192,2393830.6,-0.0023,3.205045,0.001131,-0.265625,0.0,0.74,-0.3605,0.001485,0.001529,0.00228,7.328582,28.76088,0.00026936
4075290624,2379654.2,0.000252,2.964253,0.001145,-0.275391,0.0,0.7393,-0.356,0.001598,0.001284,0.002315,7.023683,27.582092,0.00025249
4076077056,2327250.4,-0.000204,2.19059,0.001129,-0.259766,0.0,0.739,-0.3432,0.001027,0.001393,0.002334,6.588869,25.197241,0.00024675
4076863488,2313963.7,0.006422,3.019569,0.001216,-0.275391,0.0,0.7387,-0.33,0.001326,0.001372,0.002438,8.182574,28.568869,0.00026257
4077649920,2301073.9,-0.001102,3.091453,0.001226,-0.265625,0.0,0.7389,-0.3234,0.001678,0.001428,0.00222,7.783432,28.232483,0.0002589
4078436352,2288356.5,0.007625,2.866072,0.001293,-0.259766,0.0,0.7392,-0.3149,0.00158,0.001441,0.002288,7.333849,28.224388,0.00025545
4079222784,2233779.3,-0.003828,2.889305,0.001302,-0.259766,0.0,0.7396,-0.3105,0.001041,0.001282,0.001803,7.891866,27.198761,0.00026188
4080009216,2221818.0,-0.004925,2.866524,0.001266,-0.261719,0.0,0.7397,-0.3075,0.001069,0.001384,0.002049,6.722569,26.739971,0.00028903
4080795648,2209968.4,-0.000764,2.951323,0.001278,-0.257812,0.0,0.7398,-0.3079,0.002336,0.001475,0.002325,6.147981,25.617682,0.00029134
4081582080,2198307.5,0.003014,2.979142,0.001326,-0.267578,0.0,0.7398,-0.3104,0.000919,0.001329,0.001931,8.482409,28.971375,0.00030948
4082368512,2143187.2,0.001426,2.835069,0.001195,-0.232422,0.0,0.7399,-0.3061,0.001011,0.001282,0.002449,6.732402,28.80138,0.00028112
4083154944,2132411.8,0.000878,2.109654,0.001179,-0.224609,0.0,0.7402,-0.2871,0.001225,0.001515,0.002752,5.706881,28.154135,0.00027291
4083941376,2121733.1,-0.004271,2.039739,0.001153,-0.220703,0.0,0.7404,-0.272,0.001144,0.001214,0.002095,5.78556,27.838455,0.00024433
4084727808,2073237.8,0.001171,2.050477,0.001234,-0.227539,0.0,0.7403,-0.2609,0.001099,0.001308,0.002278,5.174622,25.582998,0.00027539
