step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
4001366016,256742267.5,-3.7e-05,0.271138,0.001692,-0.228516,0.0,0.9161,0.7441,0.001797,0.002025,0.003227,4.252731,20.204473,0.00025691
4002152448,157240458.8,-0.002736,0.276125,0.001695,-0.236328,0.0,0.9229,0.7683,0.001988,0.002213,0.003702,4.368322,19.408863,0.00064271
4002938880,113273346.9,0.001661,0.240535,0.001648,-0.225586,0.0,0.9296,0.7914,0.0016,0.001976,0.002713,4.358181,18.993107,0.00071456
4003725312,56911944.4,0.001494,0.323284,0.001565,-0.241211,0.0,0.9232,0.7521,0.00154,0.001945,0.002908,4.666747,18.17482,0.00061556
4004511744,49270937.5,0.002247,0.344814,0.001409,-0.243164,0.0,0.9213,0.7319,0.001603,0.002046,0.003412,4.755707,18.057304,0.00069513
4005298176,43851669.4,0.003402,0.29553,0.001416,-0.24707,0.0,0.9199,0.7281,0.001582,0.001891,0.003072,4.46252,19.006336,0.00068039
4006084608,39274426.2,0.004605,0.378434,0.001436,-0.267578,0.0,0.9171,0.7146,0.001563,0.002112,0.003572,4.579218,19.024277,0.00068335
4006871040,24920328.1,-0.000256,0.297383,0.001386,-0.243164,0.0,0.9151,0.7123,0.001619,0.002289,0.00427,4.602959,18.891964,0.0007556
4007657472,23458539.7,0.004499,0.205686,0.001417,-0.22168,0.0,0.9143,0.7171,0.001314,0.00177,0.002673,4.438732,18.476471,0.00064548
4008443904,22169680.0,-9.2e-05,0.232583,0.001491,-0.21875,0.0,0.9149,0.7223,0.001585,0.001998,0.002671,4.233101,18.331656,0.000668
4009230336,18538462.1,0.007532,0.393562,0.00147,-0.228516,0.0,0.917,0.728,0.001347,0.001946,0.002617,3.879194,19.38826,0.00062591
4010016768,17708221.5,0.002327,0.245447,0.001513,-0.21582,0.0,0.9203,0.7405,0.001551,0.001866,0.002882,4.076679,19.774868,0.00062235
4010803200,16957208.7,-0.000586,0.219863,0.001484,-0.220703,0.0,0.9205,0.7402,0.001658,0.001973,0.003242,4.029013,19.549763,0.0006634
4011589632,16252754.1,0.001824,0.267457,0.001431,-0.230469,0.0,0.9218,0.7445,0.001508,0.002086,0.003125,4.229319,19.19463,0.00065174
4012376064,13951626.0,-0.001975,0.344486,0.001513,-0.240234,0.0,0.9222,0.7417,0.001853,0.002428,0.00323,4.896078,18.553177,0.00064978
4013162496,13463754.9,-0.006213,0.324836,0.001452,-0.235352,0.0,0.9228,0.7379,0.002272,0.002119,0.004133,4.678456,18.468662,0.00065878
4013948928,13028167.5,0.002372,0.254187,0.00154,-0.230469,0.0,0.9236,0.7391,0.001833,0.002363,0.00353,4.265411,19.98336,0.00066619
4014735360,11671280.7,-0.00359,0.35951,0.001586,-0.230469,0.0,0.9241,0.738,0.002194,0.002006,0.003254,4.124833,20.414249,0.00065196
