step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm,compliance_error
786432,51051.7,-1.4e-05,13.518809,0.011398,-0.039795,0.0,0.1186,-14.9228,0.072019,0.122719,0.172605,0.00128,0.010726,0.0
1572864,61419.5,-0.001218,14.982125,0.000865,-0.095703,0.0,0.1178,-15.0053,0.08582,0.085958,0.087641,0.033445,0.792014,0.0
2359296,65890.0,0.000663,13.827357,0.001146,-0.828125,0.0,0.1177,-14.8532,0.119131,0.114902,0.113396,0.050906,0.686197,0.0
3145728,46455.6,-0.001019,12.825253,0.00317,-0.886719,0.0,0.1221,-14.8566,0.130944,0.09879,0.09627,0.323969,0.213412,0.0
3932160,50361.2,-0.00183,15.907608,0.001145,-1.0625,0.0,0.1301,-14.7888,0.114052,0.058029,0.075713,1.984749,2.846181,0.0
4718592,53258.0,0.000853,16.431862,0.001565,-1.328125,0.0,0.1333,-14.7708,0.098429,0.066538,0.075524,2.529879,2.456771,0.0
5505024,55847.8,0.001983,16.376392,0.001191,-1.3125,0.0,0.1368,-14.6946,0.089559,0.130587,0.084747,2.511994,1.895765,0.0
6291456,48872.4,-0.002943,17.951271,0.001549,-1.304688,0.0,0.1373,-14.6695,0.060957,0.09087,0.058902,2.839312,2.134009,0.0
7077888,51030.5,-0.000519,16.204336,0.001731,-1.304688,0.0,0.136,-14.6773,0.047437,0.075063,0.057387,3.033486,2.355556,0.0
7864320,52892.3,-0.003715,16.382416,0.001527,-1.289062,0.0,0.134,-14.7106,0.044137,0.07246,0.055696,3.049517,2.379309,0.0
8650752,44657.8,0.002191,17.715014,0.001439,-1.296875,0.0,0.1322,-14.7097,0.034686,0.048129,0.033888,3.088031,2.392388,0.0
9437184,46320.7,0.001383,16.378443,0.001397,-1.289062,0.0,0.1313,-14.6039,0.025296,0.040139,0.02827,2.949858,2.277965,0.0
10223616,47787.7,-0.004049,15.944643,0.001358,-1.296875,0.0,0.13,-14.5355,0.03958,0.055072,0.039998,3.207503,2.496582,0.0
11010048,49124.4,-0.01045,14.994368,0.001435,-1.3125,0.0,0.129,-14.4708,0.014804,0.026076,0.017492,3.118073,2.378963,0.0
11796480,47052.1,0.006526,16.667645,0.001389,-1.34375,0.0,0.1282,-14.4029,0.033823,0.036598,0.028591,2.963051,2.249519,0.0
12582912,48256.9,-0.001496,15.850857,0.001412,-1.34375,0.0,0.1273,-14.3554,0.017733,0.025216,0.01755,2.466301,1.831281,0.0
13369344,49378.0,0.000695,16.465998,0.001356,-1.328125,0.0,0.1266,-14.3261,0.009405,0.015381,0.01148,2.778093,2.119803,0.0
14155776,47295.5,-0.005161,18.762077,0.001325,-1.304688,0.0,0.1257,-14.298,0.019271,0.024451,0.018841,2.903958,2.245109,0.0
14942208,48279.5,0.000633,16.797237,0.001399,-1.335938,0.0,0.1255,-14.2743,0.014788,0.019555,0.015298,2.798035,2.115772,0.0
15728640,49212.8,-0.002833,16.595924,0.001387,-1.328125,0.0,0.1252,-14.2599,0.037243,0.031976,0.025825,2.641976,1.954125,0.0
16515072,50119.5,0.005074,16.803545,0.001356,-1.335938,0.0,0.1248,-14.2604,0.030533,0.02983,0.020888,2.469782,1.815895,0.0
17301504,46275.4,0.001226,18.428432,0.00124,-1.351562,0.0,0.1244,-14.2539,0.029107,0.034507,0.025641,2.376523,1.814869,0.0
18087936,47054.9,0.005036,17.665321,0.001243,-1.328125,0.0,0.1239,-14.2458,0.026759,0.030571,0.023495,2.428758,1.819591,0.0
18874368,47824.6,0.004871,16.758381,0.001365,-1.320312,0.0,0.1232,-14.2488,0.015773,0.015145,0.010847,2.286947,1.73388,0.0
19660800,46348.2,-0.004846,17.261305,0.001302,-1.296875,0.0,0.1228,-14.2378,0.018522,0.021157,0.016327,2.236398,1.625964,0.0
20447232,47104.8,0.003176,16.888044,0.001263,-1.28125,0.0,0.1233,-14.2276,0.015383,0.019762,0.013181,1.923102,1.446932,0.0
21233664,47812.3,0.00067,16.901888,0.001265,-1.210938,0.0,0.1238,-14.2219,0.020887,0.027605,0.015,1.872767,1.446305,0.0
22020096,48502.2,-0.008262,17.10568,0.001261,-1.210938,0.0,0.1241,-14.2189,0.010227,0.015489,0.008395,1.977377,1.651875,0.0
22806528,47655.5,-0.00094,17.789448,0.00128,-1.164062,0.0,0.1236,-14.2163,0.024971,0.027503,0.02293,2.065471,1.745922,0.0
23592960,48305.8,5.6e-05,14.13769,0.001166,-1.164062,0.0,0.1213,-14.2177,0.016071,0.014635,0.01403,1.871368,1.653842,0.0
24379392,48918.0,-0.003044,14.200283,0.001061,-1.15625,0.0,0.1191,-14.2208,0.008441,0.009002,0.011644,1.903981,1.66869,0.0
25165824,47703.4,-0.002962,15.547346,0.001031,-1.203125,0.0,0.1172,-14.2196,0.020531,0.017798,0.019797,1.642657,1.529369,0.0
25952256,48261.9,-0.00071,17.045305,0.001266,-1.140625,0.0,0.117,-14.2166,0.020327,0.023503,0.02322,1.996351,1.619821,0.0
26738688,48812.0,-0.001806,17.689837,0.001276,-1.179688,0.0,0.1168,-14.2265,0.026303,0.023377,0.022287,1.831058,1.570554,0.0
27525120,49353.7,-0.002093,17.577116,0.001248,-1.023438,0.0,0.1164,-14.2349,0.020668,0.021711,0.019497,1.800744,1.574665,0.0
28311552,48354.6,0.001258,18.598637,0.001077,-1.054688,0.0,0.1161,-14.2317,0.02478,0.014483,0.013964,1.812093,1.738938,0.0
29097984,48853.3,0.002285,16.51359,0.001025,-1.140625,0.0,0.1158,-14.2022,0.0224,0.014841,0.012059,1.629723,1.601502,0.0
29884416,49345.1,-0.00617,16.822964,0.001028,-1.125,0.0,0.1155,-14.1954,0.024909,0.020928,0.017707,1.602908,1.483951,0.0
30670848,49815.1,-0.005911,17.433292,0.001066,-1.15625,0.0,0.1152,-14.1839,0.016388,0.01263,0.01128,1.720514,1.571947,0.0
31457280,48530.7,0.003736,17.721943,0.001183,-1.039062,0.0,0.1147,-14.1598,0.022096,0.014201,0.008802,1.715681,1.569043,0.0
32243712,48959.7,0.002324,15.847076,0.001156,-1.132812,0.0,0.1145,-14.1402,0.012643,0.010118,0.006442,1.598803,1.631233,0.0
33030144,49280.6,-0.002749,15.425333,0.001085,-1.101562,0.0,0.1144,-14.1024,0.023634,0.009746,0.006637,1.714164,1.625048,0.0
33816576,48466.4,0.001487,17.658365,0.001003,-0.996094,0.0,0.1143,-14.091,0.029872,0.011094,0.008644,1.47842,1.378472,0.0
34603008,48892.7,0.004374,17.889606,0.001237,-1.125,0.0,0.1135,-14.0891,0.020381,0.014059,0.00982,1.634962,1.536252,0.0
35389440,49281.1,-0.00779,17.066839,0.001241,-1.164062,0.0,0.113,-14.0939,0.022751,0.013155,0.009267,1.713093,1.516884,0.0
36175872,49689.4,-0.007627,16.449841,0.001202,-1.15625,0.0,0.1125,-14.0971,0.015913,0.009565,0.007218,1.680592,1.46304,0.0
36962304,48902.3,0.001305,17.216732,0.001013,-1.085938,0.0,0.1112,-14.1236,0.017972,0.017518,0.010216,1.638019,1.461058,0.0
