feature,human,rho,a-2,a-1,a+0,a+1,a+2
headway_T,2.059,-0.9999999999999999,2.094,2.027,1.907,1.61,1.526
jam_s0,3.5895,-0.8999999999999998,4.6635,4.5695,4.311,4.198,4.245
v_freeflow_rel,0.8276,0.9999999999999999,0.7796,0.7847500000000001,0.7873,0.7912,0.8031
pet,3.4,-0.9746794344808963,2.4,2.2,2.1,2.1,1.9
min_ttc,5.5415,-0.9999999999999999,3.367,2.8754999999999997,2.685,2.575,2.308
mrd,0.23,0.9999999999999999,0.6895,0.761,0.8674999999999999,0.9395,1.1
speed_ff,10.5165,0.9999999999999999,11.258,11.326,11.677,11.93,12.241
speed_fol,5.833,0.9999999999999999,2.234,2.333,2.466,2.981,2.993
speed_zone,5.108,0.9999999999999999,6.709,6.9305,7.3375,7.401999999999999,7.637
accel_ff,2.512,0.9999999999999999,3.392,3.507,3.587,3.5885,3.658
accel_fol,0.933,0.8999999999999998,1.675,1.734,1.7235,1.788,1.885
accel_zone,1.102,0.9999999999999999,2.2475,2.321,2.369,2.4524999999999997,2.458
pet,3.5,-0.9746794344808963,2.6,2.5,2.3,2.3,2.2
min_ttc,6.324,-0.9999999999999999,3.601,2.9825,2.946,2.6100000000000003,2.378
mrd,0.192,0.9999999999999999,0.551,0.592,0.649,0.8385,0.8494999999999999
pet,3.2,-0.7,2.1,1.9,1.8,2.0,1.7
min_ttc,4.601,-0.8999999999999998,2.987,2.7385,2.488,2.553,2.244
mrd,0.307,0.49999999999999994,1.2005,1.084,1.233,1.165,1.503
