scenario_id,vehicle_id,cluster,margin,cluster2,is_edge
8c414a393858981f,839,2,1.223,3,0
8c414a393858981f,6,2,3.394,3,0
3fd5699379137318,1474,0,4.435,2,0
3fd5699379137318,1078,0,3.196,2,0
3fd5699379137318,1079,0,2.945,2,0
3fd5699379137318,1089,0,3.654,2,0
3fd5699379137318,1090,0,3.216,2,0
3fd5699379137318,1095,0,4.075,2,0
3fd5699379137318,1132,0,1.921,2,0
3abd4f0ee9df2288,5014,1,2.498,2,0
3abd4f0ee9df2288,1679,1,2.832,2,0
3abd4f0ee9df2288,1707,2,1.162,1,1
2cbf81db8fc42c36,365,2,3.446,0,0
2cbf81db8fc42c36,159,2,1.945,1,0
2cbf81db8fc42c36,160,2,1.773,1,0
2cbf81db8fc42c36,161,3,2.974,2,0
2cbf81db8fc42c36,163,2,1.123,1,1
adb7311f71706736,1520,3,1.529,2,0
adb7311f71706736,1447,3,3.906,2,0
adb7311f71706736,1449,2,1.529,1,0
adb7311f71706736,1450,2,4.919,3,0
921fb76aeb42e72d,1899,1,1.932,3,0
921fb76aeb42e72d,32,2,2.127,1,0
921fb76aeb42e72d,33,2,2.518,0,0
921fb76aeb42e72d,34,2,1.565,0,0
921fb76aeb42e72d,39,2,1.128,0,1
921fb76aeb42e72d,55,2,1.031,0,1
770524dba57d6774,142,2,4.66,0,0
770524dba57d6774,10,2,4.92,3,0
770524dba57d6774,17,2,3.282,0,0
c7362ed125e78a98,58,1,4.116,2,0
c7362ed125e78a98,1,1,1.912,2,0
c7362ed125e78a98,2,2,2.456,0,0
c0681e2dc4bb82e0,1755,3,4.989,2,0
c0681e2dc4bb82e0,1431,3,2.726,2,0
5aa09f12c6c8d3c6,108,3,5.293,2,0
5aa09f12c6c8d3c6,6,2,1.843,0,0
787a9245a3bd30ec,2987,2,4.571,3,0
787a9245a3bd30ec,874,2,3.283,1,0
787a9245a3bd30ec,875,3,2.264,2,0
f25fc75e8372e357,338,3,2.701,2,0
f25fc75e8372e357,3,1,1.059,2,1
f25fc75e8372e357,5,3,3.54,2,0
f25fc75e8372e357,21,2,1.249,1,0
1a7143a44e480ca6,2082,2,1.007,0,1
1a7143a44e480ca6,1186,3,4.711,2,0
1a7143a44e480ca6,1187,0,2.669,2,0
efb888e012a452c6,1029,2,1.149,3,1
efb888e012a452c6,1031,3,1.643,2,0
efb888e012a452c6,1032,3,2.561,2,0
efb888e012a452c6,1033,2,1.451,3,0
efb888e012a452c6,1035,2,2.886,3,0
efb888e012a452c6,1042,2,5.254,3,0
efb888e012a452c6,1043,2,5.377,3,0
efb888e012a452c6,1045,2,5.303,3,0
efb888e012a452c6,1047,0,4.218,2,0
efb888e012a452c6,1048,2,3.671,0,0
5d565563c6df756f,222,2,1.2,3,0
5d565563c6df756f,1,1,1.17,2,1
ad1f86d4437b1735,88,2,3.997,3,0
ad1f86d4437b1735,30,3,4.37,2,0
ad1f86d4437b1735,34,3,5.56,2,0
af93991e248ab62c,1745,0,5.154,2,0
af93991e248ab62c,0,0,4.467,2,0
af93991e248ab62c,1,0,3.293,2,0
af93991e248ab62c,2,0,3.43,2,0
af93991e248ab62c,3,0,3.53,2,0
af93991e248ab62c,5,0,2.08,2,0
f1c66bb2153b5d6f,1848,3,5.027,2,0
f1c66bb2153b5d6f,693,3,5.75,2,0
f1c66bb2153b5d6f,700,1,5.919,2,0
104f27efb3d0c352,1660,3,1.459,1,0
104f27efb3d0c352,710,0,1.037,2,1
104f27efb3d0c352,728,3,2.776,2,0
cec5cc3a8f5891b3,829,0,1.314,2,0
cec5cc3a8f5891b3,812,0,4.359,2,0
cec5cc3a8f5891b3,813,0,3.25,2,0
cec5cc3a8f5891b3,814,0,4.026,2,0
cec5cc3a8f5891b3,816,0,2.281,2,0
b2b0b025269b581c,2965,3,6.329,2,0
b2b0b025269b581c,973,2,2.334,3,0
b2b0b025269b581c,975,2,1.532,0,0
c585c47debf31182,1534,2,4.58,3,0
c585c47debf31182,1346,2,6.905,3,0
c585c47debf31182,1367,3,1.521,1,0
c585c47debf31182,1383,3,2.651,2,0
c585c47debf31182,1390,2,1.02,1,1
f7109a0d98f1b3a3,1656,2,5.201,3,0
f7109a0d98f1b3a3,1536,2,2.105,1,0
f7109a0d98f1b3a3,1537,2,4.607,3,0
f7109a0d98f1b3a3,1538,2,4.487,0,0
f7109a0d98f1b3a3,1541,2,2.2,3,0
f7109a0d98f1b3a3,1542,2,5.092,3,0
f7109a0d98f1b3a3,1545,2,2.946,0,0
f7109a0d98f1b3a3,1548,2,3.076,0,0
f7109a0d98f1b3a3,1549,2,1.134,1,1
f7109a0d98f1b3a3,1550,0,2.08,2,0
f7109a0d98f1b3a3,1552,2,3.96,3,0
f7109a0d98f1b3a3,1553,0,2.585,2,0
